"analysis","r_male","n_male","r_female","n_female","z","p"
"Math",0.315704033382955,130,0.323034790888042,98,-0.0601812640598514,0.952011267778724
"Reading",0.408517609455484,130,0.301429530489584,98,0.904838193003399,0.365551114687284
