"U","V","Sex"
-1.2668495782983,-0.307861870150274,"Male"
0.306823718888525,1.62945005521074,"Male"
-0.132724609029084,-0.255025477933926,"Female"
-0.773362379631823,-2.04758135084464,"Female"
1.30377794105638,0.50042826527976,"Female"
-0.279101714311009,-1.15407036181711,"Female"
-1.0466643848407,-0.0849963409432975,"Male"
0.24427764517504,1.41194063462644,"Male"
-0.267274124830516,-1.25326332287093,"Female"
0.792862968318045,0.00889071114938235,"Female"
0.334398781341169,0.13808256894507,"Female"
-1.00058585790118,-1.3824961277694,"Female"
1.75278005910475,0.900590265914342,"Male"
0.0812650367096791,-1.25076922692148,"Male"
0.472810857492102,-0.541738039963926,"Female"
-3.06318506556896,-1.7494267222261,"Male"
-0.324110226771736,-0.459219604797697,"Female"
0.133943454144997,0.438703848963277,"Male"
-0.51625950200552,1.90807899404582,"Male"
0.431848894902906,1.58129697621747,"Male"
0.65135884504942,-0.287622807196138,"Male"
0.142742370295278,-0.0475828601603916,"Male"
0.637678095796171,-0.208840654259691,"Male"
-0.0682367254394266,-0.915379711388229,"Female"
0.242100680690377,0.0739201035037429,"Male"
-1.35555347500654,-1.77711188872037,"Female"
0.698017839206622,-0.88592128454867,"Female"
0.969286534092172,0.374359402929782,"Female"
0.497512141234651,0.364975755934509,"Male"
0.36461205440034,-2.00291614795686,"Female"
0.0393981487111043,0.0760027555876354,"Female"
-1.55097249541187,-0.764933925895978,"Male"
-0.09508927464728,-0.381254548444435,"Male"
-0.273612227480464,-1.00081929832148,"Male"
0.674620909045169,0.858721088471183,"Male"
0.622964466955845,1.42107064206288,"Male"
0.750860211419007,-1.05380178203675,"Female"
0.44202549206381,-0.177271443131258,"Male"
-1.4263338570697,-0.320356975208468,"Male"
0.0382263493655507,0.912043062060419,"Male"
0.153521215424968,0.697346437548027,"Male"
-0.522217126082197,-0.174741457898522,"Male"
-0.283769139250122,0.75343699222215,"Male"
-0.366930060334281,2.08498756606321,"Male"
0.632490443641479,1.55503941990496,"Female"
1.27702144994102,0.258793902258852,"Female"
