"analysis","sex","n","r","p"
"Math","Male",130,0.315704033382955,0.000253354058010869
"Math","Female",98,0.323034790888042,0.00117742422104631
"Reading","Male",130,0.408517609455484,1.39959529240166e-06
"Reading","Female",98,0.301429530489584,0.00255967091649152
