Region ID,Gyrus,Description,Region Alias,Region Label
220,Striatum,Str_R_6_1,"vCa, ventral caudate",Str_R_6_1
221,Striatum,Str_L_6_2,"GP, globus pallidus",Str_L_6_2
222,Striatum,Str_R_6_2,"GP, globus pallidus",Str_R_6_2
223,Striatum,Str_L_6_3,"NAC, nucleus accumbens",Str_L_6_3
224,Striatum,Str_R_6_3,"NAC, nucleus accumbens",Str_R_6_3
225,Striatum,Str_L_6_4,"vmPu, ventromedial putamen",Str_L_6_4
226,Striatum,Str_R_6_4,"vmPu, ventromedial putamen",Str_R_6_4
227,Striatum,Str_L_6_5,"dCa, dorsal caudate",Str_L_6_5
228,Striatum,Str_R_6_5,"dCa, dorsal caudate",Str_R_6_5
229,Striatum,Str_L_6_6,"dlPu, dorsolateral putamen",Str_L_6_6
230,Striatum,Str_R_6_6,"dlPu, dorsolateral putamen",Str_R_6_6
231,Thalamus,Tha_L_8_1,"mPFtha, medial Pre-frontal thalamus",Tha_L_8_1
232,Thalamus,Tha_R_8_1,"mPFtha, medial Pre-frontal thalamus",Tha_R_8_1
233,Thalamus,Tha_L_8_2,"mPMtha, pre-motor thalamus",Tha_L_8_2
234,Thalamus,Tha_R_8_2,"mPMtha, pre-motor thalamus",Tha_R_8_2
235,Thalamus,Tha_L_8_3,"Stha, sensory thalamus",Tha_L_8_3
236,Thalamus,Tha_R_8_3,"Stha, sensory thalamus",Tha_R_8_3
237,Thalamus,Tha_L_8_4,"rTtha, rostral Temporal thalamus",Tha_L_8_4
238,Thalamus,Tha_R_8_4,"rTtha, rostral Temporal thalamus",Tha_R_8_4
239,Thalamus,Tha_L_8_5,"PPtha, posterior parietal thalamus",Tha_L_8_5
240,Thalamus,Tha_R_8_5,"PPtha, posterior parietal thalamus",Tha_R_8_5
241,Thalamus,Tha_L_8_6,"Otha, occipital thalamus",Tha_L_8_6
242,Thalamus,Tha_R_8_6,"Otha, occipital thalamus",Tha_R_8_6
243,Thalamus,Tha_L_8_7,"cTtha, caudal Temporal thalamus",Tha_L_8_7
244,Thalamus,Tha_R_8_7,"cTtha, caudal Temporal thalamus",Tha_R_8_7
245,Thalamus,Tha_L_8_8,"lPFtha, lateral Pre-frontal thalamus",Tha_L_8_8
246,Thalamus,Tha_R_8_8,"lPFtha, lateral Pre-frontal thalamus",Tha_R_8_8
