"Dataset","Domain","Covariate","N","Pearson_t","Pearson_df","Pearson_r","Pearson_CI_low","Pearson_CI_high","Pearson_p","Partial_t","Partial_df","Partial_r","Partial_CI_low","Partial_CI_high","Partial_asymptotic_p","Partial_perm_p","Full_report_pearson","Full_report_partial_asymptotic","Full_report_partial_perm"
"CMI-HBN","Math","SST_GVOL",751,7.27095273636929,749,0.256767597672497,0.188692818185019,0.322386504537069,9.00199162698619e-13,4.85927541521162,748,0.174933051252893,0.102881867095529,0.246613191867263,1.43585864216218e-06,0.0001999600079984,"t(749) = 7.27, p = 9.00e-13, r = 0.26, 95% CI [0.19, 0.32]","t(748) = 4.86, p = 1.44e-06, partial r = 0.17, bootstrap 95% CI [0.10, 0.25]","t(748) = 4.86, partial r = 0.17, bootstrap 95% CI [0.10, 0.25], two-sided permutation p = 2.00e-04"
"CMI-HBN","Reading","SST_GVOL",751,6.26744314471952,749,0.223228641661148,0.15414945377372,0.290136123817596,6.19181035255014e-10,4.74243322781843,748,0.170851002702467,0.10159407906943,0.238660952331066,2.52891428787471e-06,0.0001999600079984,"t(749) = 6.27, p = 6.19e-10, r = 0.22, 95% CI [0.15, 0.29]","t(748) = 4.74, p = 2.53e-06, partial r = 0.17, bootstrap 95% CI [0.10, 0.24]","t(748) = 4.74, partial r = 0.17, bootstrap 95% CI [0.10, 0.24], two-sided permutation p = 2.00e-04"
"Stanford","Math","SST_GVOL",228,5.63137790224831,226,0.350789835076786,0.231411075668171,0.459761170764978,5.28033747580113e-08,4.58734650106524,225,0.292452527087989,0.170105238073144,0.408892911435181,7.4553588111258e-06,0.0001999600079984,"t(226) = 5.63, p = 5.28e-08, r = 0.35, 95% CI [0.23, 0.46]","t(225) = 4.59, p = 7.46e-06, partial r = 0.29, bootstrap 95% CI [0.17, 0.41]","t(225) = 4.59, partial r = 0.29, bootstrap 95% CI [0.17, 0.41], two-sided permutation p = 2.00e-04"
"Stanford","Reading","SST_GVOL",228,5.51430666092497,226,0.344370139248903,0.22448863625341,0.453983463348931,9.53417711159262e-08,4.26257323846846,225,0.273348865512526,0.136574003250697,0.396546955735555,2.97360826275772e-05,0.0001999600079984,"t(226) = 5.51, p = 9.53e-08, r = 0.34, 95% CI [0.22, 0.45]","t(225) = 4.26, p = 2.97e-05, partial r = 0.27, bootstrap 95% CI [0.14, 0.40]","t(225) = 4.26, partial r = 0.27, bootstrap 95% CI [0.14, 0.40], two-sided permutation p = 2.00e-04"
"CMI-HBN","Math","SST_BVOL",751,7.27095273636929,749,0.256767597672497,0.188692818185019,0.322386504537069,9.00199162698619e-13,5.47102549342665,748,0.196154324303958,0.124641881711559,0.264908125030088,6.10685074156495e-08,0.0001999600079984,"t(749) = 7.27, p = 9.00e-13, r = 0.26, 95% CI [0.19, 0.32]","t(748) = 5.47, p = 6.11e-08, partial r = 0.20, bootstrap 95% CI [0.12, 0.26]","t(748) = 5.47, partial r = 0.20, bootstrap 95% CI [0.12, 0.26], two-sided permutation p = 2.00e-04"
"CMI-HBN","Reading","SST_BVOL",751,6.26744314471952,749,0.223228641661148,0.15414945377372,0.290136123817596,6.19181035255014e-10,4.79839146246083,748,0.172807094980921,0.102632901285342,0.241583157633896,1.93131225905541e-06,0.0001999600079984,"t(749) = 6.27, p = 6.19e-10, r = 0.22, 95% CI [0.15, 0.29]","t(748) = 4.80, p = 1.93e-06, partial r = 0.17, bootstrap 95% CI [0.10, 0.24]","t(748) = 4.80, partial r = 0.17, bootstrap 95% CI [0.10, 0.24], two-sided permutation p = 2.00e-04"
"Stanford","Math","SST_BVOL",228,5.63137790224831,226,0.350789835076786,0.231411075668171,0.459761170764978,5.28033747580113e-08,4.91085158258619,225,0.311139818593362,0.186848035276286,0.428805114665581,1.74321751656321e-06,0.0001999600079984,"t(226) = 5.63, p = 5.28e-08, r = 0.35, 95% CI [0.23, 0.46]","t(225) = 4.91, p = 1.74e-06, partial r = 0.31, bootstrap 95% CI [0.19, 0.43]","t(225) = 4.91, partial r = 0.31, bootstrap 95% CI [0.19, 0.43], two-sided permutation p = 2.00e-04"
"Stanford","Reading","SST_BVOL",228,5.51430666092497,226,0.344370139248903,0.22448863625341,0.453983463348931,9.53417711159262e-08,4.73765473802083,225,0.301178343065289,0.165992527812387,0.422590087469771,3.83018432354135e-06,0.0001999600079984,"t(226) = 5.51, p = 9.53e-08, r = 0.34, 95% CI [0.22, 0.45]","t(225) = 4.74, p = 3.83e-06, partial r = 0.30, bootstrap 95% CI [0.17, 0.42]","t(225) = 4.74, partial r = 0.30, bootstrap 95% CI [0.17, 0.42], two-sided permutation p = 2.00e-04"
