"Dataset","Domain","Covariate","N","Pearson_r","Pearson_p","Partial_r","Partial_p","Partial_perm_p"
"CMI-HBN","Math","SST_GVOL",751,0.256767597672497,9.00199162698619e-13,0.174933051252893,1.43585864216218e-06,0.0001999600079984
"CMI-HBN","Reading","SST_GVOL",751,0.223228641661148,6.19181035255014e-10,0.170851002702467,2.52891428787471e-06,0.0001999600079984
"Stanford","Math","SST_GVOL",228,0.350789835076786,5.28033747580113e-08,0.292452527087989,7.4553588111258e-06,0.0001999600079984
"Stanford","Reading","SST_GVOL",228,0.344370139248903,9.53417711159262e-08,0.273348865512526,2.97360826275772e-05,0.0001999600079984
"CMI-HBN","Math","SST_BVOL",751,0.256767597672497,9.00199162698619e-13,0.196154324303958,6.10685074156495e-08,0.0001999600079984
"CMI-HBN","Reading","SST_BVOL",751,0.223228641661148,6.19181035255014e-10,0.172807094980921,1.93131225905541e-06,0.0001999600079984
"Stanford","Math","SST_BVOL",228,0.350789835076786,5.28033747580113e-08,0.311139818593362,1.74321751656321e-06,0.0001999600079984
"Stanford","Reading","SST_BVOL",228,0.344370139248903,9.53417711159262e-08,0.301178343065289,3.83018432354135e-06,0.0001999600079984
