"receptor_set","brain_map","adj_r2","moran_p","regression_coef","fdrp"
"D1","xloading_m2",0.220921538765044,0.0021995600879824,0.473826721585758,0.00987802439512098
"D2","xloading_m2",0.015118709007333,0.489302139572086,0.140204609297014,0.564298904924897
"DAT","xloading_m2",0.0798956574145657,0.127974405118976,0.290061665154806,0.173679549804325
"mGluR5","xloading_m2",0.24678023277267,0.0017996400719856,0.500251228492064,0.00987802439512098
"NMDA","xloading_m2",0.154762159497345,0.0001999600079984,0.398318044724461,0.0018996200759848
"GABAa","xloading_m2",0.136605372856129,0.0185962807438512,0.374945529296912,0.0392588149036859
"5HT1a","xloading_m2",0.0121520965600096,0.592081583683263,0.129245468183252,0.624975004999
"5HT1b","xloading_m2",0.0634020406256426,0.0807838432313537,0.260227132048324,0.127907751782977
"5HT2a","xloading_m2",0.0650366028214152,0.0791841631673665,0.26333474876132,0.127907751782977
"5HT4","xloading_m2",0.0727766502090297,0.095380923815237,0.277578041047307,0.139402888653039
"5HT6","xloading_m2",0.118349569904246,0.0161967606478704,0.34987494210369,0.0392588149036859
"5HTT","xloading_m2",0.000606379986818784,0.698060387922416,0.0721933552335319,0.698060387922416
"A4B2","xloading_m2",0.26955548514767,0.0001999600079984,0.522418978314102,0.0018996200759848
"M1","xloading_m2",0.00759482487254726,0.504899020195961,0.1103092045591,0.564298904924897
"VAChT","xloading_m2",0.108356689150659,0.0181963607278544,0.335358978559088,0.0392588149036859
"NET","xloading_m2",0.0454218989988524,0.266346730653869,0.223205905886965,0.337372525494901
"CB1","xloading_m2",0.126926034896808,0.0143971205758848,0.361869337226121,0.0392588149036859
"H3","xloading_m2",0.137375246305922,0.0357928414317137,0.375966056427463,0.068006398720256
"MOR","xloading_m2",0.180903446722343,0.0025994801039792,0.429741882083548,0.00987802439512098
