"bmap","receptor","BF10_cmi_su","BF10_su_cmi"
"shared_mode2","D1",79.6665327649626,14.6659770446632
"shared_mode2","D2",2.07031935719061,0.475429137818879
"shared_mode2","DAT",0.00338034495838432,389.190198943876
"shared_mode2","mGluR5",527541.557175939,0.00128531784255012
"shared_mode2","NMDA",14.5739136441695,13.3180071839094
"shared_mode2","GABAa",1129.57885981518,0.0486734082779095
"shared_mode2","5HT1a",0.942485115598423,1.13811472080041
"shared_mode2","5HT1b",4.75926797875489,0.00499421622693378
"shared_mode2","5HT2a",0.100135099545293,0.00124626210770514
"shared_mode2","5HT4",1.91225585380853,0.00141728099442224
"shared_mode2","5HT6",776.602708346711,0.00432322845430422
"shared_mode2","5HTT",1.91711527463952e-05,40.7633245441151
"shared_mode2","A4B2",7533652.76700817,2.13208943625956e-06
"shared_mode2","M1",0.974716922604469,0.302199945942099
"shared_mode2","VAChT",3.54533189242429e-07,56245.9487556114
"shared_mode2","NET",0.846354982154459,4.38651666088813
"shared_mode2","CB1",615.48661622332,0.00037050828029706
"shared_mode2","H3",1.64898460012409,44.5544158327314
"shared_mode2","MOR",30611.2828278617,0.000136786838506037
