"bmap","receptor","BF10_cmi_su","BF10_su_cmi","agbin"
"math_gmv","D1",263927.573956288,350535111.946637,"9-10.9y"
"math_gmv","D2",0.545507587411175,1.12069116898615,"9-10.9y"
"math_gmv","DAT",33.9583285840855,55004158.2798851,"9-10.9y"
"math_gmv","mGluR5",12556401.0058936,36152.5375076033,"9-10.9y"
"math_gmv","NMDA",25186.3413159972,903866.616108597,"9-10.9y"
"math_gmv","GABAa",21978884.2920482,8.81324037876966,"9-10.9y"
"math_gmv","5HT1a",0.17925171208971,1.64811558363814,"9-10.9y"
"math_gmv","5HT1b",5.23980871341702,0.00180372313286191,"9-10.9y"
"math_gmv","5HT2a",0.0359912248178232,0.000829446950704504,"9-10.9y"
"math_gmv","5HT4",0.852095295995688,0.0165281214581714,"9-10.9y"
"math_gmv","5HT6",188.556429460501,1.81905072702244,"9-10.9y"
"math_gmv","5HTT",0.0181456215209816,4636.8669475144,"9-10.9y"
"math_gmv","A4B2",144687.288812046,227.308604008182,"9-10.9y"
"math_gmv","M1",0.653654579124839,0.452320985074762,"9-10.9y"
"math_gmv","VAChT",0.0681431553488687,125292368239220,"9-10.9y"
"math_gmv","NET",7.95382721581413,7003.65140104258,"9-10.9y"
"math_gmv","CB1",3.57769338589573,0.803049506856941,"9-10.9y"
"math_gmv","H3",0.785421195552018,8718204.75862936,"9-10.9y"
"math_gmv","MOR",10.5892990864365,6.49223456997184,"9-10.9y"
