"bmap","receptor","BF10_cmi_su","BF10_su_cmi","agbin"
"math_gmv","D1",0.000339882741800323,45043.0716154717,"11-13.9y"
"math_gmv","D2",0.29026403993782,0.873218729931442,"11-13.9y"
"math_gmv","DAT",2.41715669493789e-06,35.8378737272016,"11-13.9y"
"math_gmv","mGluR5",205151382.985273,103.601971757539,"11-13.9y"
"math_gmv","NMDA",3.13506139237467,3330.42709991407,"11-13.9y"
"math_gmv","GABAa",14593.0627850325,27.1051079609174,"11-13.9y"
"math_gmv","5HT1a",0.209768653493759,0.784549863998499,"11-13.9y"
"math_gmv","5HT1b",602.180489809025,0.000320954490013163,"11-13.9y"
"math_gmv","5HT2a",109.142913582825,2.08549219938765e-05,"11-13.9y"
"math_gmv","5HT4",18.9156087733038,0.00907603472916945,"11-13.9y"
"math_gmv","5HT6",115607.373858138,0.185763475681732,"11-13.9y"
"math_gmv","5HTT",9.6081627889992e-07,0.0456790784199619,"11-13.9y"
"math_gmv","A4B2",91728189903.5891,0.00269166557305754,"11-13.9y"
"math_gmv","M1",7.54571354202244,0.18864597669155,"11-13.9y"
"math_gmv","VAChT",1.35810397447109e-13,943.753481520407,"11-13.9y"
"math_gmv","NET",98.5672225495963,44.7421044180174,"11-13.9y"
"math_gmv","CB1",2512.45439506646,0.0898358036870798,"11-13.9y"
"math_gmv","H3",0.00894062260759046,82330.345371799,"11-13.9y"
"math_gmv","MOR",12514.4289499801,1.25972948817602,"11-13.9y"
