"bmap","receptor","BF10_cmi_su","BF10_su_cmi","agbin"
"read_gmv","D1",0.140273715287626,1.80558560598624,"11-13.9y"
"read_gmv","D2",0.292460994085225,1.9030087617012,"11-13.9y"
"read_gmv","DAT",0.0621841358342202,0.0538073194410635,"11-13.9y"
"read_gmv","mGluR5",2069.1142883242,0.0118776737861696,"11-13.9y"
"read_gmv","NMDA",0.0845254218424187,7.17125659889287,"11-13.9y"
"read_gmv","GABAa",6.07046407411404,1.02265793252324,"11-13.9y"
"read_gmv","5HT1a",0.348779045147859,0.892602723832471,"11-13.9y"
"read_gmv","5HT1b",27.3578923220462,0.00659852283770733,"11-13.9y"
"read_gmv","5HT2a",3.12039760231933,5.99641820869757e-07,"11-13.9y"
"read_gmv","5HT4",0.0216764419352705,6.99337176585115e-05,"11-13.9y"
"read_gmv","5HT6",27.9839202346086,0.0100823797716841,"11-13.9y"
"read_gmv","5HTT",1.35900755972745,3.78995096620442e-05,"11-13.9y"
"read_gmv","A4B2",61214114.5334797,3.98449714892238e-05,"11-13.9y"
"read_gmv","M1",0.0596679795009995,0.240321991420285,"11-13.9y"
"read_gmv","VAChT",0.000570846174826617,0.0263390116515556,"11-13.9y"
"read_gmv","NET",1.663200937657,2.37599404962838,"11-13.9y"
"read_gmv","CB1",0.0127801984848488,0.0015433835778031,"11-13.9y"
"read_gmv","H3",2.46907453341559,0.871378005809626,"11-13.9y"
"read_gmv","MOR",47.3305978489172,0.0010463179008498,"11-13.9y"
