"bmap","receptor","BF10_cmi_su","BF10_su_cmi","agbin"
"math_gmv","D1",4219217.78724816,0.401000711959133,"7-8.9y"
"math_gmv","D2",16.5976112662058,0.0621964960825311,"7-8.9y"
"math_gmv","DAT",814.192998289742,5.81682851407529,"7-8.9y"
"math_gmv","mGluR5",11692130.9163012,0.0379537754090862,"7-8.9y"
"math_gmv","NMDA",62041.4518428643,2.39392205377533,"7-8.9y"
"math_gmv","GABAa",13394.096644044,0.0880630382111347,"7-8.9y"
"math_gmv","5HT1a",4.67485751433543,0.420568205061296,"7-8.9y"
"math_gmv","5HT1b",47.1454607650293,0.0538519253449209,"7-8.9y"
"math_gmv","5HT2a",0.321627356911925,0.0244725952947031,"7-8.9y"
"math_gmv","5HT4",0.203070859194873,0.0112626692173505,"7-8.9y"
"math_gmv","5HT6",27816.3114498538,0.00785854676155004,"7-8.9y"
"math_gmv","5HTT",0.0405881838377007,16.5679290349436,"7-8.9y"
"math_gmv","A4B2",16499021.7868372,0.037833914928476,"7-8.9y"
"math_gmv","M1",1.34471700669893,0.209464345919321,"7-8.9y"
"math_gmv","VAChT",0.195844747483252,7423.75058455817,"7-8.9y"
"math_gmv","NET",0.203185860164902,35.3801123632969,"7-8.9y"
"math_gmv","CB1",30627.5735733542,0.00319880738723059,"7-8.9y"
"math_gmv","H3",0.160849978602317,13683.8313668902,"7-8.9y"
"math_gmv","MOR",490322.318153213,0.0218782799846476,"7-8.9y"
