"bmap","receptor","BF10_cmi_su","BF10_su_cmi","agbin"
"read_gmv","D1",1729.70476644832,0.141686778149324,"Full"
"read_gmv","D2",0.229776917298919,0.263672185847922,"Full"
"read_gmv","DAT",0.139801909269824,3.8870923466745,"Full"
"read_gmv","mGluR5",249244.872886417,0.000185207702644587,"Full"
"read_gmv","NMDA",4.10587976829672,6.59986804626407,"Full"
"read_gmv","GABAa",42.4316981850915,0.366931226023969,"Full"
"read_gmv","5HT1a",1.37190925046819,0.262453282340314,"Full"
"read_gmv","5HT1b",14.7207238400514,0.023330344947573,"Full"
"read_gmv","5HT2a",0.609919874791434,0.000372423835234046,"Full"
"read_gmv","5HT4",0.895069201443728,0.000183997726587433,"Full"
"read_gmv","5HT6",159.000242331203,0.00398221249422891,"Full"
"read_gmv","5HTT",0.0139924009142623,0.677489633242286,"Full"
"read_gmv","A4B2",36247130.8130491,5.52295182536827e-07,"Full"
"read_gmv","M1",0.366096698701244,0.357610905899539,"Full"
"read_gmv","VAChT",0.0499350683721911,12.8761734082624,"Full"
"read_gmv","NET",1.15878439503562,1.94012589938268,"Full"
"read_gmv","CB1",2.772444453982,3.64716766738945e-06,"Full"
"read_gmv","H3",453.869341520844,0.0148069810394075,"Full"
"read_gmv","MOR",24983.8920980552,3.63932587423452e-08,"Full"
