"receptor_set","brain_map","adj_r2","moran_p","regression_coef","fdrp"
"D1","Full",0.136138573675497,0.0127974405118976,0.37432539575536,0.0405252282876758
"D1","7-8.9y",0.156395328753954,0.00799840031993601,0.400353478671185,0.0217099437255406
"D1","9-10.9y",0.0507682303956725,0.0305938812237553,0.234824552267786,0.115876824635073
"D1","11-13.9y",-0.00163612408169667,0.683063387322535,0.0545867254146139,0.722910973360883
"D2","Full",0.00603323701854641,0.617276544691062,0.103022953820264,0.651569686062787
"D2","7-8.9y",0.0233442995863802,0.522095580883823,0.166868262709858,0.571574573974094
"D2","9-10.9y",-0.00443185625938236,0.917616476704659,-0.0140307509502093,0.968595169854918
"D2","11-13.9y",0.00210753197324187,0.684863027394521,-0.0818908711347487,0.722910973360883
"DAT","Full",0.01397350911894,0.523895220955809,0.136078690464659,0.637378406671607
"DAT","7-8.9y",0.0299431610295469,0.478104379124175,0.185508676463488,0.571574573974094
"DAT","9-10.9y",-0.00462569867705098,0.989602079584083,0.00197808937856419,0.989602079584083
"DAT","11-13.9y",0.0249541016639284,0.399720055988802,-0.171602449675412,0.584206235675942
"mGluR5","Full",0.195607166389745,0.001999600079984,0.446446016677609,0.00949810037992401
"mGluR5","7-8.9y",0.190921903263019,0.0017996400719856,0.441191991943296,0.00854829034193161
"mGluR5","9-10.9y",0.11350395978523,0.00399920015996801,0.342912809608496,0.0379924015196961
"mGluR5","11-13.9y",0.108014811728556,0.0257948410317936,0.334851224501394,0.163367326534693
"NMDA","Full",0.0841078093406868,0.0015996800639872,0.297201128329168,0.00949810037992401
"NMDA","7-8.9y",0.102666554387818,0.0001999600079984,0.326805341995105,0.00126641338398987
"NMDA","9-10.9y",0.0222199052185212,0.0929814037192561,0.163480287107692,0.182363527294541
"NMDA","11-13.9y",0.011612505374481,0.137972405518896,0.127150644731768,0.262147570485903
"GABAa","Full",0.0701584046031369,0.0673865226954609,0.272843158084864,0.128034393121376
"GABAa","7-8.9y",0.0507392113455696,0.147970405918816,0.234763040161786,0.234286476038126
"GABAa","9-10.9y",0.0523033589724157,0.0519896020795841,0.238055927460902,0.141114634216014
"GABAa","11-13.9y",0.0272068596891059,0.237752449510098,0.178016227873727,0.376441378390988
"5HT1a","Full",0.0119958746732748,0.550889822035593,0.128642485500328,0.637378406671607
"5HT1a","7-8.9y",0.0279550431839347,0.504499100179964,0.180095844013714,0.571574573974094
"5HT1a","9-10.9y",-0.00416622493252294,0.859828034393121,0.0214771783898517,0.960984273733489
"5HT1a","11-13.9y",-0.00450567618979902,0.925414917016597,-0.0111077552107571,0.925414917016597
"5HT1b","Full",0.0566632982807489,0.169566086782643,0.247002979782412,0.268479637405852
