"","Mode1","Mode2","Mode3"
"Age",0.965331328570171,-0.259541302828726,0.0278161501094894
"Math Problem Solving",0.334064844184114,0.929789280486632,-0.154572228334828
"Numerical Operation",0.208053538126394,0.499489143522955,-0.840966301807505
