"comparison","var1","var2","n","r","t","df","p","ci_lower","ci_upper"
"CMI_math_vs_Stanford_math","CMI_math","Stanford_math",218,0.52324451788972,9.02399617895996,216,1.01257320928308e-16,0.419535886826471,0.613469401888642
"CMI_math_vs_CMI_reading","CMI_math","CMI_reading",218,0.688756499521552,13.9623629557623,216,5.32151935827005e-32,0.61187793405648,0.752743011744055
"CMI_reading_vs_Stanford_read","CMI_reading","Stanford_read",218,0.267857979085518,4.08600122536489,216,6.1865757734135e-05,0.139961563853136,0.38696301275135
"CMI_reading_vs_CMI_math","CMI_reading","CMI_math",218,0.688756499521552,13.9623629557623,216,5.32151935827005e-32,0.61187793405648,0.752743011744055
