"","CMI_math","CMI_reading","Stanford_math","Stanford_read"
"CMI_math",1,0.688756499521552,0.52324451788972,0.296310664217191
"CMI_reading",0.688756499521552,1,0.387828937202549,0.267857979085518
"Stanford_math",0.52324451788972,0.387828937202549,1,0.839146892235523
"Stanford_read",0.296310664217191,0.267857979085518,0.839146892235523,1
