"var1","var2","n","r","t","df","p","ci_lower","ci_upper"
"CMI_math","CMI_reading",218,0.688756499521552,13.9623629557623,216,5.32151935827005e-32,0.61187793405648,0.752743011744055
"CMI_math","Stanford_math",218,0.52324451788972,9.02399617895996,216,1.01257320928308e-16,0.419535886826471,0.613469401888642
"CMI_math","Stanford_read",218,0.296310664217191,4.55962499752529,216,8.58029905422289e-06,0.170131284001958,0.41293027959726
"CMI_reading","Stanford_math",218,0.387828937202549,6.18390370262463,216,3.08677511996179e-09,0.268803447598194,0.495187944320574
"CMI_reading","Stanford_read",218,0.267857979085518,4.08600122536489,216,6.1865757734135e-05,0.139961563853136,0.38696301275135
"Stanford_math","Stanford_read",218,0.839146892235523,22.6747198101106,216,4.81386503480779e-59,0.794903999849422,0.874513045633657
