"GMV_structural_phenotype","fitted_NMDA","ci_lower","ci_upper"
-0.110356514009434,5.65040352401701,5.327717513513,5.97308953452102
-0.106466721111053,5.6558302773888,5.33542341754496,5.97623713723264
-0.102576928212673,5.66125703076059,5.34312846543323,5.97938559608796
-0.0986871353142928,5.66668378413239,5.35083263865122,5.98253492961355
-0.0947973424159125,5.67211053750418,5.35853591814135,5.985685156867
-0.0909075495175322,5.67753729087597,5.36623828429616,5.98883629745579
-0.087017756619152,5.68296404424776,5.37393971693861,5.99198837155692
-0.0831279637207717,5.68839079761956,5.38164019530159,5.99514139993752
-0.0792381708223915,5.69381755099135,5.38933969800652,5.99829540397618
-0.0753483779240112,5.69924430436314,5.397038203041,6.00145040568529
-0.071458585025631,5.70467105773493,5.40473568773555,6.00460642773432
-0.0675687921272507,5.71009781110673,5.4124321287393,6.00776349347416
-0.0636789992288704,5.71552456447852,5.4201275019946,6.01092162696244
-0.0597892063304902,5.72095131785031,5.42782178271056,6.01408085299006
-0.0558994134321099,5.7263780712221,5.43551494533533,6.01724119710888
-0.0520096205337297,5.7318048245939,5.44320696352721,6.02040268566058
-0.0481198276353494,5.73723157796569,5.45089781012444,6.02356534580694
-0.0442300347369692,5.74265833133748,5.45858745711359,6.02672920556137
-0.0403402418385889,5.74808508470927,5.46627587559654,6.02989429382201
-0.0364504489402086,5.75351183808107,5.47396303575592,6.03306064040621
-0.0325606560418284,5.75893859145286,5.48164890681897,6.03622827608675
-0.0286708631434481,5.76436534482465,5.48933345701968,6.03939723262962
-0.0247810702450679,5.76979209819644,5.49701665355924,6.04256754283365
-0.0208912773466876,5.77521885156824,5.50469846256448,6.045739240572
-0.0170014844483073,5.78064560494003,5.51237884904447,6.04891236083559
-0.0131116915499271,5.78607235831182,5.520057776845,6.05208693977864
-0.00922189865154684,5.79149911168361,5.52773520860082,6.05526301476641
-0.00533210575316657,5.79692586505541,5.53541110568564,6.05844062442518
-0.00144231285478633,5.8023526184272,5.54308542815961,6.06161980869479
0.00244748004359394,5.80777937179899,5.55075813471433,6.06480060888366
0.0063372729419742,5.81320612517078,5.558429182615,6.06798306772657
0.0102270658403544,5.81863287854258,5.56609852763982,6.07116722944533
0.0141168587387347,5.82405963191437,5.57376612401627,6.07435313981247
0.018006651637115,5.82948638528616,5.58143192435417,6.07754084621815
0.0218964445354952,5.83491313865795,5.58909587957544,6.08073039774047
0.0257862374338755,5.84033989202975,5.5967579388401,6.0839218452194
