xcoef_std_m1_age_gmv,xcoef_std_m2_math_gmv,xloading_m1_age_gmv,xloading_m2_math_gmv
0.017109281,-0.212104101,-0.255016431,-0.724436176
-0.084607606,-0.056604613,-0.473198699,-0.611919533
-0.045125958,-0.084591298,-0.433054523,-0.6373287
0.084057228,-0.127949801,-0.200683587,-0.737420999
0.089856798,-0.123124467,-0.208491195,-0.742062588
-0.114167204,-0.005049825,-0.507561294,-0.527677124
-0.056408694,-0.054874022,-0.432327986,-0.612249006
-0.116845669,-0.047598647,-0.507429075,-0.592162359
-0.093845303,-0.047993345,-0.532146747,-0.611238721
0.068277956,-0.078158711,-0.06855802,-0.740304614
0.053232706,-0.060405234,-0.069311213,-0.729796562
0.002732884,-0.03855476,-0.337941559,-0.675944703
-0.002832475,-0.034550625,-0.353648064,-0.656103052
0.004611937,-0.033012675,-0.311745717,-0.632794077
0.000652916,-0.034837121,-0.336645705,-0.66872942
0.015715056,-0.039811258,-0.273171585,-0.680189249
0.01983581,-0.049112344,-0.263661163,-0.673227909
0.050484423,-0.066162539,-0.114083543,-0.73783591
0.052302941,-0.063045593,-0.077275864,-0.740811098
0.043008059,-0.077833187,-0.205570603,-0.706622159
0.037319122,-0.063349157,-0.171113695,-0.703548338
-0.024864446,-0.101408318,-0.30258837,-0.712332281
-0.022833616,-0.094812615,-0.303506541,-0.713585277
-0.017652799,-0.028278568,-0.355885113,-0.639204775
-0.011428254,-0.05779793,-0.312062399,-0.702923245
-0.035583414,-0.101650149,-0.363574953,-0.666670759
-0.052769103,-0.076121423,-0.418107634,-0.665625549
-0.032712673,-0.035360205,-0.447624792,-0.642933586
-0.035619531,-0.0366731,-0.43693606,-0.643714486
-0.06416886,-0.059720281,-0.458497354,-0.663541505
-0.036893023,-0.046694362,-0.439399397,-0.675416291
-0.097799113,-0.116153348,-0.418838536,-0.6988421
-0.056805815,-0.105067629,-0.384925251,-0.717304264
0.053820983,-0.181630839,-0.218105178,-0.728560899
-0.023212352,-0.102038475,-0.332675817,-0.694325905
-0.102354799,-0.028969675,-0.517636642,-0.56241585
-0.161521795,0.063248778,-0.545932327,-0.353559921
-0.029416381,-0.095522287,-0.355654467,-0.58225967
0.014299946,-0.084640873,-0.314156153,-0.5818042
-0.175225997,-0.052685626,-0.511877024,-0.474511281
-0.095823697,0.009274553,-0.444264085,-0.417764848
-0.0524784,-0.076652773,-0.416464028,-0.658676204
-0.072734422,-0.058076929,-0.393470364,-0.611232415
0.067483476,-0.138868626,-0.307517661,-0.657804081
0.041352489,-0.149504075,-0.326949155,-0.680779567
-0.038245821,-0.066311159,-0.357844596,-0.473347419
-0.048212204,0.009003093,-0.338304888,-0.344013683
0.005850261,-0.016558108,-0.370157029,-0.495090449
0.041881782,-0.014115901,-0.304220096,-0.460293113
-0.28535809,-0.053974213,-0.5538134,-0.47188221
-0.276117291,0.089423591,-0.495779279,-0.299526936
-0.167777751,-0.047146677,-0.480674868,-0.471235246
-0.091867988,0.063501443,-0.406734966,-0.36905583
-0.031259414,-0.054220591,-0.369401915,-0.517122459
-0.057100412,-0.022854136,-0.416205836,-0.505091468
0.025100117,-0.030572197,-0.308746323,-0.51687431
-0.027805793,-0.009206373,-0.396211868,-0.487723052
0.002898369,-0.016170509,-0.304108406,-0.598120598
0.009435467,-0.024742125,-0.232310087,-0.590558841
0.000905982,-0.004973711,-0.319766392,-0.543602864
0.004129273,-0.011154366,-0.28383698,-0.569084064
0.018937095,-0.074774809,-0.253695512,-0.612662083
0.026122188,-0.066270779,-0.201969562,-0.603407757
0.006243649,-0.075086515,-0.283925932,-0.654243314
0.039306292,-0.091158792,-0.238967909,-0.66297292
