xstdcoef_m1_age_gmv,xstdcoef_m2_math_gmv,xloading_m1_age_gmv,xloading_m2_math_gmv
-0.086363115,-0.105901138,-0.647676503,-0.564497382
-0.005208417,0.002360231,-0.434236287,-0.371211384
0.010466583,-0.008160871,-0.355030844,-0.424508511
-0.011921388,0.018085746,-0.464419849,-0.345555819
-0.027644282,0.030177046,-0.489660782,-0.320277695
-0.14417291,0.017857739,-0.749992951,-0.305097584
-0.148367679,0.013516398,-0.785596386,-0.317346695
-0.001326178,-0.053253565,-0.451615797,-0.542971216
0.006157812,-0.059385029,-0.372115606,-0.594825776
-0.024404247,-0.103607618,-0.526630689,-0.592636187
-0.058001685,-0.052232436,-0.607659762,-0.497780749
0.012980427,-0.04753693,-0.471955729,-0.523733078
0.001559313,-0.03911556,-0.403704145,-0.423488391
-0.089397804,-0.008321858,-0.72488249,-0.382362748
-0.107602194,-0.002540092,-0.747479808,-0.380850563
-0.061478994,-0.007618128,-0.664216058,-0.415641738
-0.00990081,-0.009615297,-0.547905522,-0.443260113
-0.029491618,0.001924694,-0.644580218,-0.40016508
-0.016367526,-0.015054804,-0.578082823,-0.440853209
-0.122284292,0.045240673,-0.784323595,-0.302494889
-0.169734408,0.071156808,-0.808950674,-0.274508045
-0.006652558,-0.012510791,-0.561533415,-0.42933964
-0.042515904,-0.036490453,-0.621424688,-0.470343242
-0.065382371,0.00608427,-0.664366155,-0.39472249
-0.092608437,-0.024530619,-0.648612901,-0.443892494
-0.004226594,-0.003488908,-0.520100135,-0.393050856
-0.010017513,0.006558069,-0.603213554,-0.257784927
-0.022888627,-0.004713471,-0.631046696,-0.383977463
-0.029268769,-0.017285035,-0.676593398,-0.437471427
-0.096108999,0.030218387,-0.801655195,-0.2776085
-0.080357943,0.023745278,-0.780240512,-0.244655699
-0.02670972,0.023477653,-0.62633489,-0.281456462
-0.031356472,0.033523338,-0.611992796,-0.220431575
-0.032823447,-0.015292596,-0.645989176,-0.431997002
-0.041888404,-0.027563242,-0.676527443,-0.465938616
-0.030223999,0.004727627,-0.614149215,-0.367373979
-0.02274794,-0.018463719,-0.601547684,-0.436905455
-0.019869488,0.016310935,-0.549745773,-0.31986884
-0.014537173,-0.013400941,-0.505016656,-0.389248386
-0.078773292,-0.011590251,-0.677648808,-0.413610008
-0.071905241,-0.01288839,-0.622525835,-0.390403075
-0.053755525,-0.185377571,-0.589489277,-0.607771438
-0.056745351,-0.183403036,-0.595191007,-0.619526491
0.018131137,-0.128063263,-0.501742347,-0.535084405
-0.051129427,-0.20447924,-0.568413667,-0.602784799
-0.016514437,0.004886205,-0.678844292,-0.289231886
-0.008586728,0.004952976,-0.526139334,-0.22170518
0.003944671,-0.004867639,-0.306443177,-0.357838348
0.005554221,-0.00103042,-0.236119902,-0.272076333
0.015512835,-0.023088275,-0.180788229,-0.556912391
0.007458785,-0.015544629,-0.236567883,-0.485998556
-0.011766352,0.004741265,-0.57624557,-0.278747936
-0.003420198,0.005646604,-0.375561642,-0.157108251
-0.012011949,0.000310879,-0.698843325,-0.33021468
-0.014866792,0.004454661,-0.619770307,-0.274186088
0.001489431,-0.018037552,-0.456303347,-0.550389042
0.000676016,-0.019947315,-0.444186302,-0.550799779
0.009448881,-0.02569019,-0.451521652,-0.485988212
-0.019734169,-0.037773737,-0.566148437,-0.539372942
0.01540442,-0.022020216,-0.442881061,-0.483406156
-0.005206994,-0.034863355,-0.495442145,-0.591835255
-0.036963735,0.01920275,-0.653303629,-0.345454996
-0.094970973,0.040836115,-0.705799971,-0.29139399
0.004763538,0.026361367,-0.502113611,-0.327474236
-0.037511502,0.032685186,-0.619209953,-0.331527343
-0.017587358,-0.019659381,-0.567906888,-0.479684253
-0.03112978,-0.007893939,-0.615274581,-0.442821051
-0.069507617,0.034210808,-0.703407506,-0.314754446
-0.08564156,0.037767592,-0.697372471,-0.275665469
-0.010365433,-0.012019862,-0.567620272,-0.445040774
