xstdcoef_m1_age_gmv,xstdcoef_m2_read_gmv,xloading_m1_age_gmv,xloading_m2_read_gmv
-0.016433344,-0.02579618,-0.547419,-0.506188252
-0.019196027,-0.017499454,-0.577380766,-0.48480059
0.003770141,-0.034635941,-0.416091756,-0.521693442
-0.008964401,-0.01949916,-0.499803767,-0.487183344
0.006014282,-0.017603704,-0.402246041,-0.47363127
0.007715452,-0.015246805,-0.35950381,-0.468261845
0.014602582,-0.024104275,-0.303384299,-0.449713743
0.014586774,-0.014536499,-0.27790731,-0.41998368
0.008761667,-0.032259876,-0.383861641,-0.469267621
0.013360769,-0.014264697,-0.345977261,-0.424135418
0.09166406,-0.057412703,-0.102636737,-0.52542318
0.071625295,-0.057831529,-0.165808878,-0.550928311
0.005670028,-0.014340406,-0.331730304,-0.454407697
0.01975452,-0.042310011,-0.286651255,-0.523530454
-0.038577448,-0.007397157,-0.451256169,-0.384555343
-0.030718121,0.001864151,-0.463755084,-0.377191671
0.00485057,-0.021147462,-0.424182173,-0.416290798
0.004875239,-0.005555091,-0.41831075,-0.377357642
-0.032379464,-0.015180238,-0.514076522,-0.437337941
-0.002486146,-0.022128063,-0.420411978,-0.463197666
0.059150325,-0.029608788,-0.225269981,-0.423811745
0.054964294,-0.053825449,-0.227528262,-0.49478364
0.0754712,-0.17299411,-0.24735321,-0.585786848
0.049172147,-0.068522346,-0.223352637,-0.488154789
-0.029650814,0.034892988,-0.481746225,-0.222689078
-0.067004695,0.058190975,-0.514994724,-0.176931858
-0.020912316,0.100091638,-0.437978604,-0.152349618
-0.037134492,0.039666975,-0.4796125,-0.274854984
-0.009739128,0.160702005,-0.371472278,0.064772326
-0.016954675,0.089387651,-0.421768463,-0.085811143
-0.012443528,-0.144905658,-0.465988973,-0.532700414
-0.058741247,-0.201399168,-0.528832949,-0.570704448
-0.006520234,-0.001529535,-0.431023565,-0.314183261
-0.026090502,-0.045456284,-0.480646329,-0.389282956
-0.057412652,0.120684567,-0.480738323,-0.124486611
-0.064106119,0.022125714,-0.467610653,-0.255423944
-0.053519374,-0.064931212,-0.546136109,-0.421222695
-0.114068734,-0.136280886,-0.602356419,-0.482870332
0.003640565,0.276293677,-0.319755412,0.110356514
-0.042608109,0.138861408,-0.41858457,-0.092146408
-0.078075129,0.11559902,-0.474245353,-0.148865302
-0.106262069,-0.051276484,-0.532380266,-0.336007052
-0.02642772,0.094228886,-0.46231671,-0.112960248
-0.082115857,0.096232685,-0.53353888,-0.113569111
-0.046802683,0.030859506,-0.54730921,-0.250799949
-0.102755328,0.0061273,-0.590563726,-0.308414827
-0.003503167,-0.005967415,-0.441569276,-0.379894284
-0.006488514,-0.00848532,-0.379464308,-0.332824342
-0.001066605,-0.004011389,-0.429738172,-0.39793651
0.00335701,-0.00230864,-0.21732419,-0.283193973
0.013485921,-0.013842425,-0.333352204,-0.338850442
-0.010788645,0.010118825,-0.345338431,-0.225531557
0.069610635,-0.041487569,-0.189218374,-0.393020911
0.049979096,-0.041719679,-0.22532002,-0.366451831
