"","Full","7-8.9y","9-10.9y","11-13.9y"
"Full",1,0.973899962916957,0.87510229165204,0.73228922690458
"7-8.9y",0.973899962916957,1,0.776043175437825,0.721956986787274
"9-10.9y",0.87510229165204,0.776043175437825,1,0.556135163044329
"11-13.9y",0.73228922690458,0.721956986787274,0.556135163044329,1
