"","Mode1","Mode2","Mode3"
"Age",0.95860687775411,-0.284273618632299,-0.0161667458759133
"Numerical Operation",0.463763761025517,0.522534667839654,0.71545838094551
"Math Reasoning",0.422370818647815,0.905443155515293,0.042137675366386
