receptor_set,brain_map,adj_r2,moran_p,regression_coef
D1,xloading_m2,0.20830409074760559,0.02459508098380324,0.46038294819965736
D2,xloading_m2,0.0008198644733227178,0.5664867026594681,0.07365039868800581
DAT,xloading_m2,0.17706612785796183,0.015796840631873626,0.42527455819670246
mGluR5,xloading_m2,0.0899754934287137,0.13277344531093782,0.3068699313215918
NMDA,xloading_m2,0.15403469596045105,0.0011997600479904018,0.39740804418475656
GABAa,xloading_m2,0.04888717132782672,0.40791841631673664,0.23080333566672664
5HT1a,xloading_m2,0.013973236986732362,0.34133173365326935,0.13607769516138388
5HT1b,xloading_m2,-0.0013202342783140697,0.7736452709458108,-0.057394639832428346
5HT2a,xloading_m2,0.024354306254760205,0.2965406918616277,-0.1698539648038205
5HT4,xloading_m2,0.005467980641251424,0.5566886622675465,-0.10025506223955209
5HT6,xloading_m2,0.008848666280387496,0.5012997400519896,0.11582825193923486
5HTT,xloading_m2,0.13198173687008252,0.016596680663867228,0.368757130143909
A4B2,xloading_m2,0.03730782159809565,0.07958408318336332,0.2043139522495196
M1,xloading_m2,-0.0038765239395390783,0.8274345130973805,-0.027379465972827866
VAChT,xloading_m2,0.30217415590463503,0.0015996800639872025,0.5526209760809068
NET,xloading_m2,0.060524743351167754,0.03799240151969606,0.25466472550014857
CB1,xloading_m2,-0.002931244053410609,0.6798640271945611,0.04111640687824969
H3,xloading_m2,0.16411055266271235,0.0003999200159968006,0.40983237764438535
MOR,xloading_m2,0.01442972765293049,0.26854629074185166,0.1377371632603549
