"network","t","df","r","p","fdrp"
"aSalience",3.96385287235205,22,0.645471390281502,0.000658678411182729,0.00428140967268774
"LECN",-0.443674844662807,6,-0.17822942510937,0.672829370546458,0.795161983373086
"RECN",-0.139688853569921,11,-0.0420804671844166,0.891430670816557,0.891430670816557
"dDMN",5.17913744867696,21,0.748922569286298,3.93112019808134e-05,0.000511045625750574
"Visuospatial",1.74917453551861,22,0.349418567454516,0.0942005976921192,0.204101294999592
"Language",0.749973720231179,17,0.178958925839694,0.463524284853956,0.602581570310143
"Auditory",2.16719118547713,37,0.335618808550333,0.0367293402975182,0.0954962847735474
"Sensorimotor",0.177743400331734,12,0.0512426903618064,0.861889595207581,0.891430670816557
"vDMN",1.23840890484021,17,0.28766267190582,0.23239363258376,0.37763965294861
"pSalience",3.65382862107972,8,0.790759682984755,0.0064585309088708,0.0230158649911422
"high_Visual",3.24036786173183,12,0.683129771381069,0.00708180461265914,0.0230158649911422
"Precuneus",2.2406910080415,3,0.791181161799815,0.110890485508432,0.205939473087088
"prim_Visual",0.816789555032886,4,0.378080710348755,0.459901312496866,0.602581570310143
