"bmap","receptor","BF10","agbin"
"math_gmv","D1",82093686.1850676,"9-10.9y"
"math_gmv","D2",0.307261634405263,"9-10.9y"
"math_gmv","DAT",125318237.114923,"9-10.9y"
"math_gmv","mGluR5",5680.96434107212,"9-10.9y"
"math_gmv","NMDA",152514.365816755,"9-10.9y"
"math_gmv","GABAa",15.3225562201794,"9-10.9y"
"math_gmv","5HT1a",1.39062187878007,"9-10.9y"
"math_gmv","5HT1b",0.252849582572378,"9-10.9y"
"math_gmv","5HT2a",4.54293291688228,"9-10.9y"
"math_gmv","5HT4",0.317687127742416,"9-10.9y"
"math_gmv","5HT6",0.648388907386794,"9-10.9y"
"math_gmv","5HTT",75019.4351983524,"9-10.9y"
"math_gmv","A4B2",53.4634645106402,"9-10.9y"
"math_gmv","M1",0.173430749821972,"9-10.9y"
"math_gmv","VAChT",464975370222340288,"9-10.9y"
"math_gmv","NET",3664.91001475325,"9-10.9y"
"math_gmv","CB1",0.205424490785036,"9-10.9y"
"math_gmv","H3",76217244.7381879,"9-10.9y"
"math_gmv","MOR",1.19407042434882,"9-10.9y"
