"bmap","receptor","BF10","agbin"
"math_gmv","D1",20794275335.9681,"Full"
"math_gmv","D2",0.354278140104404,"Full"
"math_gmv","DAT",155139850.485747,"Full"
"math_gmv","mGluR5",84404.7615056042,"Full"
"math_gmv","NMDA",3547597.20394726,"Full"
"math_gmv","GABAa",54.5263495709606,"Full"
"math_gmv","5HT1a",1.18075687579503,"Full"
"math_gmv","5HT1b",0.164483586866579,"Full"
"math_gmv","5HT2a",1.56804742824393,"Full"
"math_gmv","5HT4",0.33217265080626,"Full"
"math_gmv","5HT6",1.26386162958956,"Full"
"math_gmv","5HTT",283678.847416617,"Full"
"math_gmv","A4B2",186.382145235135,"Full"
"math_gmv","M1",0.150671385152005,"Full"
"math_gmv","VAChT",1747235631258520832,"Full"
"math_gmv","NET",1747.94899019562,"Full"
"math_gmv","CB1",0.485940959238365,"Full"
"math_gmv","H3",600079952071.634,"Full"
"math_gmv","MOR",10.8777414477781,"Full"
