receptor_set,brain_map,adj_r2,moran_p,regression_coef
D1,Full,0.21513363648477768,0.02399520095980804,0.4677077422591793
D1,7-8.9y,0.15550397951118589,0.04399120175964807,0.3992438681326859
D1,9-10.9y,0.1727176377845565,0.08998200359928014,0.42015473209373294
D1,11-13.9y,0.20052169571271905,0.04279144171165767,0.4518914997316408
D2,Full,0.003960695258349856,0.5276944611077784,0.09247020134801943
D2,7-8.9y,-0.004359263492770049,0.9348130373925215,0.016404883722895027
D2,9-10.9y,0.002568477305362471,0.5790841831633673,0.08464594458856793
D2,11-13.9y,0.006191755875852856,0.39752049590081984,0.10378592086363557
DAT,Full,0.1777182903092993,0.025994801039792043,0.42603709573676685
DAT,7-8.9y,0.11212877187081338,0.130373925214957,0.3409110504965663
DAT,9-10.9y,0.17604471976287217,0.01979604079184163,0.4240775267613889
DAT,11-13.9y,0.14412329029399507,0.026394721055788842,0.38479529960329206
mGluR5,Full,0.11649142948679181,0.08898220355928814,0.3472216835879825
mGluR5,7-8.9y,0.11131865897656479,0.11777644471105779,0.33972630851255436
mGluR5,9-10.9y,0.09328899710965688,0.13197360527894422,0.31219767588507985
mGluR5,11-13.9y,0.08302910665159169,0.14317136572685463,0.2953891991443995
NMDA,Full,0.1475461990989414,0.001999600079984003,0.3891973247960978
NMDA,7-8.9y,0.14126534141580271,0.001999600079984003,0.38108088903791004
NMDA,9-10.9y,0.1214886948698336,0.008998200359928014,0.3543121985819589
NMDA,11-13.9y,0.12773515084087916,0.007998400319936013,0.3629804464756191
GABAa,Full,0.0516791942863013,0.4065186962607478,0.23674741022472728
GABAa,7-8.9y,0.04479436810480508,0.3307338532293541,0.22180224835698142
GABAa,9-10.9y,0.039921759030733694,0.4881023795240952,0.21058509615316184
GABAa,11-13.9y,0.05106263016753132,0.41971605678864227,0.23544768726544985
5HT1a,Full,0.0156331868580053,0.3787242551489702,0.14201915171247173
5HT1a,7-8.9y,0.000872621659268269,0.7344531093781244,0.07400604902422322
5HT1a,9-10.9y,0.017206042626052853,0.3697260547890422,0.1474281080320646
5HT1a,11-13.9y,0.008700298189560085,0.4065186962607478,0.11518897334550635
5HT1b,Full,-0.0035714689649448683,0.8138372325534893,-0.03245434251772447
5HT1b,7-8.9y,-0.0024737811247421693,0.8096380723855229,0.046324008021237734
5HT1b,9-10.9y,0.0006586336992326913,0.8452309538092382,-0.07255269431089623
5HT1b,11-13.9y,0.0029419175577163337,0.5934813037392521,-0.0868139117009711
5HT2a,Full,0.01835852190737708,0.3833233353329334,-0.1512686859690683
5HT2a,7-8.9y,0.012316118359655515,0.45030993801239755,-0.12987554421339992
5HT2a,9-10.9y,0.028494644326212404,0.36992601479704057,-0.18158091180540506
5HT2a,11-13.9y,0.016661414799483798,0.3473305338932214,-0.1455779139052289
5HT4,Full,0.0033310333049182406,0.5934813037392521,-0.089016727933014
5HT4,7-8.9y,0.017941473362898086,0.3793241351729654,-0.14989025549722393
5HT4,9-10.9y,0.00289496814281065,0.5870825834833033,-0.08654433665277578
5HT4,11-13.9y,0.0018681653573481283,0.6018796240751849,-0.08042295214226769
5HT6,Full,0.01628749891304304,0.40591881623675263,0.14429392310572614
5HT6,7-8.9y,0.01867716322774471,0.3707258548290342,0.15231345404131405
5HT6,9-10.9y,0.009842979066256308,0.4963007398520296,0.12002464183073319
5HT6,11-13.9y,0.008393329247571746,0.5316936612677464,0.11385493068735515
5HTT,Full,0.12669661871918436,0.022795440911817635,0.3615536727295923
5HTT,7-8.9y,0.08044673251297407,0.09758048390321936,0.2910056789380666
5HTT,9-10.9y,0.11549198593688859,0.027794441111777646,0.34578614740098235
5HTT,11-13.9y,0.11923179157566732,0.014197160567886422,0.35112765662337914
A4B2,Full,0.06290028396275393,0.0655868826234753,0.2592657243715298
A4B2,7-8.9y,0.1164183707546449,0.08318336332733453,0.34711694786874275
A4B2,9-10.9y,0.05149818101565051,0.04439112177564487,0.23636657365203234
A4B2,11-13.9y,0.01755570186337807,0.2709458108378324,0.14860381873407008
M1,Full,-0.004437193417960561,0.9134173165366927,-0.013840137602288359
M1,7-8.9y,-0.0032408886242416557,0.7718456308738252,-0.03717985041998769
M1,9-10.9y,-0.0030491304838240474,0.767246550689862,-0.03966378372777427
M1,11-13.9y,-0.0044973358900157745,0.9226154769046191,-0.01147536888490014
VAChT,Full,0.3394827145511983,0.0001999600079984003,0.5852576979497899
VAChT,7-8.9y,0.2670067816105409,0.0011997600479904018,0.5199852214661603
VAChT,9-10.9y,0.33119066450742185,0.0023995200959808036,0.5781632426727711
VAChT,11-13.9y,0.2917005635405613,0.002599480103979204,0.5431064501947468
NET,Full,0.08293746701447324,0.03759248150369926,0.2952347568233224
NET,7-8.9y,0.10301712421812392,0.09618076384723055,0.32733879369496144
