"bmap","fitted_NMDA","ci_lower","ci_upper"
0.173079206914921,6.01775205166638,5.70863956831397,6.3268645350188
0.174819587374878,6.01949025123029,5.7123307425902,6.32664975987039
0.176559967834835,6.0212284507942,5.7160192361558,6.3264376654326
0.178300348294792,6.02296665035811,5.71970499729134,6.32622830342488
0.180040728754749,6.02470484992202,5.72338797301363,6.32602172683042
0.181781109214706,6.02644304948593,5.7270681090395,6.32581798993236
0.183521489674663,6.02818124904984,5.73074534974847,6.32561714835121
0.18526187013462,6.02991944861375,5.73441963814416,6.32541925908334
0.187002250594577,6.03165764817766,5.73809091581456,6.32522438054076
0.188742631054534,6.03339584774157,5.741759122891,6.32503257259214
0.190483011514491,6.03513404730548,5.74542419800583,6.32484389660513
0.192223391974448,6.03687224686939,5.74908607824879,6.32465841548998
0.193963772434405,6.0386104464333,5.75274469912199,6.32447619374461
0.195704152894362,6.04034864599721,5.75639999449342,6.324297297501
0.197444533354319,6.04208684556112,5.76005189654907,6.32412179457316
0.199184913814276,6.04382504512503,5.76370033574353,6.32394975450653
0.200925294274233,6.04556324468894,5.76734524074896,6.32378124862892
0.20266567473419,6.04730144425285,5.77098653840255,6.32361635010315
0.204406055194147,6.04903964381676,5.77462415365228,6.32345513398124
0.206146435654104,6.05077784338067,5.778258009501,6.32329767726034
0.207886816114061,6.05251604294458,5.78188802694877,6.32314405894039
0.209627196574018,6.05425424250849,5.78551412493337,6.32299436008361
0.211367577033975,6.0559924420724,5.78913622026899,6.3228486638758
0.213107957493932,6.05773064163631,5.79275422758305,6.32270705568956
0.214848337953889,6.05946884120022,5.79636805925099,6.32256962314945
0.216588718413846,6.06120704076413,5.79997762532914,6.32243645619911
0.218329098873803,6.06294524032804,5.80358283348551,6.32230764717057
0.22006947933376,6.06468343989195,5.80718358892843,6.32218329085546
0.221809859793717,6.06642163945586,5.81077979433313,6.32206348457858
0.223550240253674,6.06815983901977,5.814371349766,6.32194832827353
0.22529062071363,6.06989803858368,5.81795815260669,6.32183792456067
0.227031001173587,6.07163623814759,5.82154009746779,6.32173237882738
0.228771381633544,6.0733744377115,5.8251170761123,6.32163179931069
0.230511762093501,6.0751126372754,5.82868897736854,6.32153629718227
0.232252142553458,6.07685083683931,5.83225568704269,6.32144598663594
0.233992523013415,6.07858903640322,5.83581708782882,6.32136098497762
0.235732903473372,6.08032723596713,5.8393730592164,6.32128141271787
0.237473283933329,6.08206543553104,5.84292347739514,6.32120739366694
0.239213664393286,6.08380363509495,5.84646821515735,6.32113905503256
