"","Mode1","Mode2","Mode3"
"Age",0.980145038605759,-0.127158870753397,0.1521391628912
"Word Reading",0.150178626031326,0.88476253099919,0.441182098484573
"Reading Comprehension",0.376728197234068,0.855462154774553,-0.355331348402092
