"brain","fitted_beh","ci_lower","ci_upper"
-3.06318506556896,-1.05486946757514,-1.45131764108082,-0.658421294069462
-3.03250164506656,-1.0443030137841,-1.43716271865807,-0.651443308910127
-3.00181822456415,-1.03373655999305,-1.42301134175319,-0.64446177823291
-2.97113480406175,-1.02317010620201,-1.40886360923028,-0.637476603173733
-2.94045138355934,-1.01260365241096,-1.39471962355729,-0.630487681264627
-2.90976796305694,-1.00203719861992,-1.38057949096657,-0.623494906273258
-2.87908454255453,-0.991470744828869,-1.36644332162361,-0.616498168034126
-2.84840112205213,-0.980904291037824,-1.35231122980471,-0.60949735227094
-2.81771770154973,-0.970337837246778,-1.33818333408391,-0.602492340409645
-2.78703428104732,-0.959771383455732,-1.3240597575299,-0.59548300938157
-2.75635086054492,-0.949204929664687,-1.30994062791329,-0.588469231416082
-2.72566744004251,-0.938638475873641,-1.29582607792513,-0.581450873822155
-2.69498401954011,-0.928072022082595,-1.28171624540703,-0.574427798758159
-2.6643005990377,-0.91750556829155,-1.26761127359392,-0.567399862989183
-2.6336171785353,-0.906939114500504,-1.25351131136988,-0.560366917631132
-2.60293375803289,-0.896372660709459,-1.23941651353812,-0.553328807880802
-2.57225033753049,-0.885806206918413,-1.22532704110575,-0.546285372731074
-2.54156691702809,-0.875239753127367,-1.2112430615844,-0.539236444670331
-2.51088349652568,-0.864673299336322,-1.19716474930752,-0.532181849365118
-2.48020007602328,-0.854106845545276,-1.18309228576551,-0.525121405325039
-2.44951665552087,-0.84354039175423,-1.16902585995968,-0.518054923548775
-2.41883323501847,-0.832973937963185,-1.15496566877628,-0.510982207150084
-2.38814981451606,-0.822407484172139,-1.14091191738176,-0.503903050962523
-2.35746639401366,-0.811841030381093,-1.12686481964059,-0.496817241121595
-2.32678297351125,-0.801274576590048,-1.11282459855718,-0.48972455462292
-2.29609955300885,-0.790708122799002,-1.09879148674307,-0.482624758854933
-2.26541613250645,-0.780141669007956,-1.08476572691137,-0.475517611104546
-2.23473271200404,-0.769575215216911,-1.07074757239973,-0.468402858034087
-2.20404929150164,-0.759008761425865,-1.05673728772398,-0.461280235127751
-2.17336587099923,-0.748442307634819,-1.04273514916398,-0.45414946610566
