"analysis","sex","n","r","p"
"Math","Male",481,0.224171432102768,6.79881028391611e-07
"Math","Female",270,0.222972057929643,0.000221266118791601
"Reading","Male",481,0.227992314541863,4.32731531534704e-07
"Reading","Female",270,0.186317237479902,0.00211022299250598
