"Full","Male","Female"
0.506988131800015,0.436123479697814,0.477825460594438
0.54450993302089,0.481817494135703,0.507894361440772
0.521937495784623,0.466541000623605,0.461819678360538
0.514014887184352,0.457862842527127,0.466605326865514
0.522738213159904,0.452889817451891,0.494021505119218
0.504239257919196,0.434141774411868,0.483808671080487
0.54043150707387,0.486937679688211,0.474987502280218
0.548993391073183,0.48965037430592,0.506428870245983
0.574947675250765,0.512000221856683,0.54047496602336
0.584101656336851,0.518432326189385,0.556513891751449
0.434870998438332,0.388897451447139,0.391694258345127
0.44508949035888,0.39499097221163,0.409757038062822
0.442979915394378,0.378410739114183,0.453362051298789
0.468779392285017,0.413369562380173,0.478762543231073
0.463463380519812,0.405108176067882,0.444740328071354
0.453312960391348,0.402228256397654,0.417166351707949
0.544614908239911,0.497783579927857,0.499379715672454
0.543576222408871,0.512849984216459,0.480770934092333
0.472773506084986,0.411195114989507,0.468802866423789
0.486084519458636,0.431108965811824,0.474982716265396
0.5157346563538,0.447352256689673,0.51340111362493
0.525876822854443,0.46244708507147,0.514900644124085
0.515157190805031,0.461722067155494,0.47001533898516
0.521990154468252,0.476629498188241,0.470746337881881
0.545795481952899,0.504119638682445,0.496049405517738
0.56224380151517,0.52305769941926,0.503028467379227
0.586424786544876,0.538316139392788,0.532815147170337
0.625573146094494,0.588167629693337,0.578377123453947
0.55605569685477,0.501077958275075,0.554373636407736
0.564496337836939,0.521971527998593,0.543321292273892
0.514752242468231,0.438402035601111,0.533600242165569
0.51936020249349,0.450647122274981,0.52720167337315
0.521217054550289,0.438906014468232,0.550928059209755
0.558216627606231,0.477700821235169,0.567209838854849
0.487956050072086,0.412838776061375,0.479192645535646
0.531859774706499,0.465555237361818,0.515527556265161
0.5618475179882,0.489677114564925,0.556638220316697
0.576155016531639,0.506039893630887,0.562230497869486
0.567622363786781,0.484603492632396,0.58435600235263
0.598283814650198,0.515857962447718,0.616046785563953
0.596427703507829,0.530932688397147,0.580692637066519
0.611897569466792,0.559986228812679,0.577579930099126
0.519890142055507,0.457038115015492,0.489480945321126
0.541206432970384,0.483036742655766,0.493581114562791
0.516231040679308,0.459668325472505,0.471262179723316
0.559535674839525,0.498736318533668,0.510669142633252
0.54452649857475,0.477825103966553,0.504746835902766
0.610933713926273,0.57288962663299,0.543631433867007
0.494498477547012,0.404797378194686,0.483150320800975
0.481256046977762,0.406271362156152,0.430656991301696
0.540678214034845,0.468886554499677,0.528545344264248
0.563889173297459,0.497360006046552,0.540652940061252
0.66170589799219,0.610145245210765,0.642127959695879
0.65797497505815,0.5953885715126,0.651520650736459
0.578848871131662,0.522673556368864,0.56286676942487
0.605335249140684,0.558053130366499,0.569029460748137
0.60402697556399,0.547786149126054,0.577208916700477
0.603727659040136,0.554467390373915,0.560591281342868
0.480060445379917,0.433757115537873,0.418690790015514
0.546702760173898,0.503545319025792,0.475773024503232
0.614235469799413,0.539384556671689,0.599330001687329
0.627765042267254,0.538030838245714,0.651256092437886
0.634609040363034,0.578188320053496,0.622324303041093
0.643769128648443,0.58944065446625,0.63410884765032
0.593475885306258,0.523619437605262,0.5713719717328
0.660496653573713,0.610932893249854,0.614905839020212
0.604722855099299,0.549507369597086,0.564419083042647
0.617276507262401,0.56269854122379,0.583510745707889
0.473904650533837,0.403665661332731,0.453892859711691
0.51349244465675,0.460163983277911,0.49150853166429
0.559183623317153,0.50804741201394,0.491945724740813
0.553975210025344,0.480470322125369,0.536623672954068
0.598766167282721,0.520089857858402,0.586031908790027
0.578501947165121,0.501022610275215,0.569041752377043
0.54536529660341,0.475381890954957,0.516252682362531
0.531727296374297,0.465025932406462,0.500445178976572
0.473697394774149,0.386850220658033,0.490142622493248
0.501079601076932,0.427849443651696,0.482607467481881
0.49857558348149,0.389512528366458,0.525318310646451
0.551565645285907,0.482569396031666,0.554237404917296
0.512148584068231,0.423929968184918,0.508186718354429
0.516245758601031,0.457980166673752,0.474166524885321
0.444367612570252,0.350465798962046,0.436161718292746
0.480420834886676,0.413755918307176,0.460455996739243
0.520023745193299,0.445539125091357,0.504124982449725
0.557109979307754,0.480374402717028,0.537403008514347
0.493505403062349,0.403734444530417,0.488519102630968
0.513753079163259,0.436322968367398,0.509336978367157
0.57400569676014,0.496138732996075,0.556774672845425
0.540052526901823,0.472220852327157,0.51070476477528
0.553490709428071,0.518243198244777,0.479930951008309
0.468849438544038,0.423896252463891,0.400019881862274
0.448585423753578,0.357939678641845,0.439422291164883
0.492933844887817,0.435895373921244,0.448334413018449
0.450172332666208,0.350806106191888,0.45283330831774
0.475602384015614,0.416395631769258,0.459744404721153
0.55406593165306,0.501321012830646,0.50333893877864
0.537938523592942,0.468510921009346,0.496098145419717
0.531767494848012,0.462176272671613,0.525966079128
0.490406829998972,0.424115269635869,0.465087213648617
0.529779886057843,0.457846303604953,0.526089553328557
0.528734392122396,0.464424025769977,0.515139015137486
0.59278639550362,0.508485789552089,0.589651108782749
0.617718758419719,0.562873008098395,0.574376929940414
0.623938608456539,0.579548785447726,0.570134927116116
0.525070847328559,0.442949610410433,0.507973047495021
0.616259524964193,0.593419561858915,0.53046042597266
0.541033677229297,0.4860129811004,0.4813604097446
0.541231020095016,0.457871036541168,0.535238468042842
0.581039285945519,0.535367041395189,0.528560639175635
0.550042684646812,0.469296431236484,0.554168557727726
0.545980497909968,0.472793833181536,0.530326314658273
0.59303317967351,0.53452519272263,0.558677158387058
0.527480054424686,0.473115026003901,0.482534093162714
0.553489720078164,0.493265855540152,0.526909291757308
0.528017218460786,0.491337993965261,0.48449211364759
0.513634927316423,0.448078667201549,0.501703726004698
0.529234319315214,0.493627259137693,0.467611264886194
0.581132376509612,0.513946700994071,0.550892403654147
0.580664768279139,0.50396222970943,0.585505323035392
0.530254139423041,0.473391004525749,0.499255011053351
0.516293957934219,0.466994282941978,0.479274945621112
0.546757896902638,0.484251676480893,0.52816188928753
0.544839099750969,0.482088670983017,0.511879578992989
0.489503421473219,0.411621623165558,0.467729987835474
0.512000665259709,0.432950841311926,0.492775488926056
0.50131855428015,0.415953257583622,0.492721726617516
0.513335540968717,0.442703052197699,0.473188134866764
0.574189771480757,0.527750314802638,0.511323785218036
0.574502682617207,0.512168303411263,0.538708523824722
0.537336061182921,0.475542436132926,0.499197828022895
0.544009929038147,0.482446259146211,0.505380748799553
0.552905411649572,0.498979794460517,0.500323409637999
0.574629707477316,0.517331235012576,0.535103448310331
0.515326303814334,0.462476096325549,0.475898967849261
0.564132816841691,0.492691400214281,0.541895838445635
0.494697352406859,0.445039725459904,0.439346862093236
0.549059163549247,0.503795423563859,0.491438601119857
0.574277360853851,0.543772763733385,0.505918040103747
0.583862761149508,0.539447485027971,0.543165146354445
0.514287710141978,0.475658476896014,0.452076917374703
0.548280924218552,0.517886056067317,0.482546470979696
0.540846092514037,0.486817869637672,0.498522464704578
0.578336476802254,0.533166257564212,0.525515174947287
0.582190467467725,0.53217268674877,0.528996202754675
0.568477637395968,0.509925417040893,0.531201698342379
0.547596887683089,0.466283276712769,0.5498201581444
0.548896061494129,0.458565244609103,0.558516702542199
0.592870226563015,0.530320297794554,0.560046943698422
0.60793238106462,0.528325850650573,0.597164032396113
0.744656253832123,0.702613075496818,0.732905311203558
0.786838479772566,0.739229563429697,0.791914766466594
0.681884190651544,0.621604178229425,0.669956121711515
0.701216333780674,0.63580345344738,0.702027156195253
0.658067514924388,0.614047786415358,0.631095716787913
0.663824164495242,0.631813087475589,0.616097783878039
0.636705630266922,0.577551133651264,0.611515540154912
0.632465297367508,0.569648867872447,0.610689590297752
0.604374819586119,0.57151153283222,0.557766234504349
0.651199992979908,0.62406944244678,0.599927105978856
0.550223464251638,0.488001749311786,0.522509079024521
0.549638005248465,0.496997874234054,0.493591050320794
0.574364749976934,0.532033940442758,0.48544054362839
0.540729963593808,0.469825297623813,0.497910689229289
0.575791370294694,0.515314857251148,0.544705272164139
0.567398449728064,0.512140841431768,0.521531881270131
0.552224909565226,0.485654275193601,0.520316417407888
0.58489312911461,0.52041407631332,0.548746401854112
0.591257295009485,0.520744932928214,0.573539811423749
0.592949304869203,0.529866252943125,0.567316173108402
0.600401918552801,0.543662323662909,0.540549339841675
0.572893750787237,0.507409324656807,0.528408934584177
0.601141693434597,0.537389345572471,0.555308974792386
0.57496849871063,0.497541791808567,0.54744906422215
0.667211668316542,0.606082577134008,0.647589021751046
0.668872298421749,0.612672723233138,0.641178525409466
0.580888649239257,0.520993064064137,0.567970491955003
0.588929727652229,0.546068360186047,0.529377368576539
0.552496529858523,0.503944951574589,0.512014304766995
0.556755246219602,0.515423980260627,0.509897614311292
0.685783376497988,0.614553678594655,0.69350136438992
0.674109330469171,0.602918357267439,0.675724703126282
0.595144259119228,0.54014067489058,0.583686084609911
0.625152372408237,0.572967822088025,0.620825189377239
0.624989442661414,0.576632501697468,0.585570548934954
0.663768218623553,0.61943517929165,0.628928267587253
0.559871438097562,0.510888628853092,0.507688515649584
0.559103011076745,0.520903163371647,0.500438478997073
0.575542489506795,0.527060006471909,0.542145245838635
0.402668725197156,0.292857023799349,0.434865985179271
0.662783297020496,0.621615791159295,0.632443933649323
0.700893051073087,0.64296909192269,0.696384345175304
0.466908328705969,0.435223325051133,0.4029529850807
0.442058407502299,0.335532003282768,0.448092292682557
0.664377852528241,0.601287486922714,0.668060425377486
0.596717444217045,0.523184356175905,0.598671934745409
0.754803807020379,0.711418154270345,0.746018484350359
0.798726133623541,0.757112410363035,0.798289899470332
0.478294164651374,0.438666555288221,0.393852758719573
0.350120942483354,0.235491576129086,0.356799740645446
0.569950560453924,0.514219732128147,0.518742285651253
0.526758710809397,0.43865251569315,0.510053322922764
0.44457933957943,0.402726596854663,0.354028365818088
0.251379824244946,0.117609418671287,0.247347511291012
0.492246150142473,0.45042838048297,0.380140839762908
0.375258867496057,0.249610529294103,0.36998212518561
0.52583784319768,0.492311714400618,0.484892386843025
0.55304123080748,0.466547096957918,0.570207964560016
0.545450181246138,0.481419959567423,0.515373994866394
0.565710841443228,0.488914925323952,0.561009072534946
0.583833744750187,0.550734873567718,0.520198696705451
0.59202645402376,0.545572700921269,0.553177113858606
0.56383672192251,0.50098698238498,0.539249622827801
0.589882812970244,0.548179625761422,0.53779760378324
0.584066241532727,0.535907758097204,0.539646929042658
0.588295574057511,0.538078006034687,0.549257283880301
0.606388122918992,0.559861564189794,0.547999284412973
0.612023783747789,0.578110228697699,0.533310454497074
