"analysis","var1","var2","r","p"
"Math_GMV_Weights","Full","Male",0.991145770503496,2.15501799720764e-191
"Math_GMV_Weights","Full","Female",0.971484863624514,5.40128521924427e-137
"Math_GMV_Weights","Male","Female",0.941335164214054,7.24228599377517e-104
"Reading_GMV_Weights","Full","Male",0.97842103795678,6.62700651094109e-150
"Reading_GMV_Weights","Full","Female",0.939010320520562,4.24240687862442e-102
"Reading_GMV_Weights","Male","Female",0.862892969613971,6.0299916538771e-66
