"Full","Male","Female"
0.572368478631407,0.523085489177024,0.518366126346016
0.607003414521521,0.561003096742955,0.554761769453417
0.547698186114104,0.486033647847314,0.501804078479142
0.551916360356705,0.499185074765181,0.504917856030065
0.57369093183777,0.510170971225738,0.542839489521478
0.563224244563409,0.509750830693912,0.52417299019998
0.567922422553093,0.518241271293136,0.500202167565649
0.569711142953847,0.519903981842923,0.510226842192717
0.628161362021234,0.581263507048601,0.576847424493814
0.624967250047677,0.568366673943553,0.588032561047511
0.545587725553614,0.510924494468572,0.507015608193539
0.551922887140386,0.512822071882829,0.520569592352834
0.536122581083113,0.4743213840439,0.558000524232403
0.538173992861265,0.485559657549464,0.554565647522887
0.468423510146478,0.409097078633887,0.447089517705104
0.487375570893014,0.431459606605766,0.464386641495324
0.558124785406278,0.511799973383618,0.51146461861089
0.552532500392574,0.520556775819974,0.492620916098007
0.475529210705613,0.414229136933833,0.465974461587327
0.491557443059024,0.425731864944575,0.495715817407375
0.512121458417655,0.445812942102185,0.498007433001974
0.535757803303889,0.461088886894327,0.540783150676889
0.50305516902307,0.43802765063555,0.469884533975407
0.539099153737633,0.486285432013438,0.502675180990991
0.53433918914286,0.492701949899102,0.478257909977861
0.537498949632669,0.484968009143795,0.492792759855913
0.508760647315292,0.437368012776382,0.463819878366435
0.538028206594296,0.47708697812198,0.502570936166654
0.576255969641838,0.540987400282673,0.540244441022675
0.575418587243686,0.5332757395298,0.552791310194784
0.522235286424813,0.454648484643043,0.520029045126821
0.534687365523321,0.453016931514605,0.563501918979824
0.581436936419565,0.523202665483212,0.577422550825951
0.6191601057532,0.551202500803623,0.616502103228104
0.49868089241903,0.431250956347595,0.471381886661906
0.54078546533783,0.461011723222613,0.543813809110861
0.628365688316251,0.573927109913097,0.605419188430383
0.655152075750112,0.607635070099881,0.620367219966561
0.6437826980293,0.590741035234683,0.622879357280637
0.648201140019651,0.580134966320028,0.64790334654805
0.645934773738324,0.598379905317815,0.608050567064485
0.704821739079909,0.666999113625603,0.671244507139588
0.55857931174905,0.502804418269576,0.521399681554394
0.549946004400995,0.474815149594763,0.528421210366736
0.596821782814678,0.555931972824983,0.544028264173335
0.649953704598416,0.605581131801211,0.598246921207381
0.588623346388129,0.548142257066637,0.510866021518451
