"analysis","r_male","n_male","r_female","n_female","z","p"
"Math",0.224171432102768,481,0.222972057929643,270,0.0165240092950687,0.986816348054021
"Reading",0.227992314541863,481,0.186317237479902,270,0.570025072513908,0.568660692816045
