pid,visit,session,SFG_L_7_1,SFG_R_7_1,SFG_L_7_2,SFG_R_7_2,SFG_L_7_3,SFG_R_7_3,SFG_L_7_4,SFG_R_7_4,SFG_L_7_5,SFG_R_7_5,SFG_L_7_6,SFG_R_7_6,SFG_L_7_7,SFG_R_7_7,MFG_L_7_1,MFG_R_7_1,MFG_L_7_2,MFG_R_7_2,MFG_L_7_3,MFG_R_7_3,MFG_L_7_4,MFG_R_7_4,MFG_L_7_5,MFG_R_7_5,MFG_L_7_6,MFG_R_7_6,MFG_L_7_7,MFG_R_7_7,IFG_L_6_1,IFG_R_6_1,IFG_L_6_2,IFG_R_6_2,IFG_L_6_3,IFG_R_6_3,IFG_L_6_4,IFG_R_6_4,IFG_L_6_5,IFG_R_6_5,IFG_L_6_6,IFG_R_6_6,OrG_L_6_1,OrG_R_6_1,OrG_L_6_2,OrG_R_6_2,OrG_L_6_3,OrG_R_6_3,OrG_L_6_4,OrG_R_6_4,OrG_L_6_5,OrG_R_6_5,OrG_L_6_6,OrG_R_6_6,PrG_L_6_1,PrG_R_6_1,PrG_L_6_2,PrG_R_6_2,PrG_L_6_3,PrG_R_6_3,PrG_L_6_4,PrG_R_6_4,PrG_L_6_5,PrG_R_6_5,PrG_L_6_6,PrG_R_6_6,PCL_L_2_1,PCL_R_2_1,PCL_L_2_2,PCL_R_2_2,STG_L_6_1,STG_R_6_1,STG_L_6_2,STG_R_6_2,STG_L_6_3,STG_R_6_3,STG_L_6_4,STG_R_6_4,STG_L_6_5,STG_R_6_5,STG_L_6_6,STG_R_6_6,MTG_L_4_1,MTG_R_4_1,MTG_L_4_2,MTG_R_4_2,MTG_L_4_3,MTG_R_4_3,MTG_L_4_4,MTG_R_4_4,ITG_L_7_1,ITG_R_7_1,ITG_L_7_2,ITG_R_7_2,ITG_L_7_3,ITG_R_7_3,ITG_L_7_4,ITG_R_7_4,ITG_L_7_5,ITG_R_7_5,ITG_L_7_6,ITG_R_7_6,ITG_L_7_7,ITG_R_7_7,FuG_L_3_1,FuG_R_3_1,FuG_L_3_2,FuG_R_3_2,FuG_L_3_3,FuG_R_3_3,PhG_L_6_1,PhG_R_6_1,PhG_L_6_2,PhG_R_6_2,PhG_L_6_3,PhG_R_6_3,PhG_L_6_4,PhG_R_6_4,PhG_L_6_5,PhG_R_6_5,PhG_L_6_6,PhG_R_6_6,pSTS_L_2_1,pSTS_R_2_1,pSTS_L_2_2,pSTS_R_2_2,SPL_L_5_1,SPL_R_5_1,SPL_L_5_2,SPL_R_5_2,SPL_L_5_3,SPL_R_5_3,SPL_L_5_4,SPL_R_5_4,SPL_L_5_5,SPL_R_5_5,IPL_L_6_1,IPL_R_6_1,IPL_L_6_2,IPL_R_6_2,IPL_L_6_3,IPL_R_6_3,IPL_L_6_4,IPL_R_6_4,IPL_L_6_5,IPL_R_6_5,IPL_L_6_6,IPL_R_6_6,Pcun_L_4_1,Pcun_R_4_1,Pcun_L_4_2,Pcun_R_4_2,Pcun_L_4_3,Pcun_R_4_3,Pcun_L_4_4,Pcun_R_4_4,PoG_L_4_1,PoG_R_4_1,PoG_L_4_2,PoG_R_4_2,PoG_L_4_3,PoG_R_4_3,PoG_L_4_4,PoG_R_4_4,INS_L_6_1,INS_R_6_1,INS_L_6_2,INS_R_6_2,INS_L_6_3,INS_R_6_3,INS_L_6_4,INS_R_6_4,INS_L_6_5,INS_R_6_5,INS_L_6_6,INS_R_6_6,CG_L_7_1,CG_R_7_1,CG_L_7_2,CG_R_7_2,CG_L_7_3,CG_R_7_3,CG_L_7_4,CG_R_7_4,CG_L_7_5,CG_R_7_5,CG_L_7_6,CG_R_7_6,CG_L_7_7,CG_R_7_7,Cun_L_5_1,Cun_R_5_1,Cun_L_5_2,Cun_R_5_2,Cun_L_5_3,Cun_R_5_3,Cun_L_5_4,Cun_R_5_4,Cun_L_5_5,Cun_R_5_5,OcG_L_4_1,OcG_R_4_1,OcG_L_4_2,OcG_R_4_2,OcG_L_4_3,OcG_R_4_3,OcG_L_4_4,OcG_R_4_4,sOcG_L_2_1,sOcG_R_2_1,sOcG_L_2_2,sOcG_R_2_2,Amyg_L_2_1,Amyg_R_2_1,Amyg_L_2_2,Amyg_R_2_2,Hipp_L_2_1,Hipp_R_2_1,Hipp_L_2_2,Hipp_R_2_2
sub-NDARAA504CRN,0,0,2756.0787744,3248.619696,2936.301648,2220.5301216,2377.7131392,2841.58224,1906.1640864,1876.468272,2651.6314272,2425.8408384,2983.4053536,4314.0850368,5186.527584,4814.8179072,4178.9178816,3579.8816256,3020.78112,2111.4748032,2986.9893312,3782.6323584,3652.5851712,3260.3956224,3196.3960224,2590.703808,2106.3548352,1929.7159392,3228.139824,4283.8772256,1379.831376,1491.9586752,1396.2152736,1084.4092224,1201.1444928,1425.911088,1380.3433728,1396.2152736,2061.8111136,2473.9685376,1235.4482784,1200.632496,2665.9673376,3505.1300928,1973.747664,1666.549584,4243.4294784,4911.5853024,2724.8469696,3475.4342784,3678.697008,2979.821376,2200.5622464,1814.0046624,3248.619696,1878.0042624,2502.6403584,3183.5961024,2233.3300416,2053.107168,820.7308704,1401.8472384,1817.0766432,1524.7264704,3123.18048,2971.1174304,1167.352704,1484.2787232,1994.227536,2535.4081536,2547.6960768,2291.18568,1765.3649664,1376.7593952,3268.0755744,2898.9258816,2244.5939712,2082.2909856,1814.0046624,2367.9852,2458.0966368,1108.9850688,1706.4853344,2461.6806144,2530.2881856,3226.6038336,2315.7615264,2925.0377184,2908.141824,4760.0342496,784.8910944,355.3257792,1174.0086624,875.514528,1608.1819488,1415.671152,1271.8000512,1254.9041568,1743.349104,1343.9916,1985.5235904,1400.8232448,1999.347504,2185.2023424,3517.9300128,3890.1516864,4374.5006592,3891.17568,4891.1054304,4659.6828768,435.19728,376.8296448,405.5014656,521.2127424,519.1647552,464.3810976,498.1728864,367.6137024,236.5425216,457.7251392,543.2286048,624.636096,1530.870432,1562.1022368,1429.4950656,1032.1855488,1562.6142336,2221.0421184,1985.5235904,2056.1791488,1568.2461984,1260.5361216,1818.6126336,1842.6764832,1534.9664064,1745.909088,4446.692208,4883.4254784,3473.3862912,4308.9650688,4051.9426752,4025.8308384,5225.9513376,5253.5991648,7277.0105184,5727.1962048,4675.5547776,5764.0599744,2003.9554752,1813.4926656,2184.1783488,2489.3284416,3061.740864,4363.2367296,2713.58304,3100.6526208,3544.0418496,3552.2337984,2653.1674176,2565.6159648,3025.901088,2659.823376,2748.9108192,1860.0843744,1240.5682464,973.3059168,993.7857888,847.354704,1069.0493184,931.834176,947.7060768,1081.8492384,1084.4092224,969.2099424,1481.2067424,1234.4242848,1529.8464384,1407.9912,665.59584,1100.79312,2852.3341728,2296.305648,1333.751664,1161.2087424,1938.4198848,1373.1754176,2676.7192704,2399.2170048,3476.9702688,2168.8184448,2280.945744,2832.3662976,2963.9494752,3251.6916768,2406.8969568,2291.18568,3746.2805856,4369.3806912,3922.4074848,4259.813376,2996.7172704,3256.299648,3634.6652832,3612.6494208,3917.2875168,3863.015856,4950.4970592,4493.7959136,2289.6496896,2653.6794144,2208.7541952,3113.4525408,479.7410016,719.355504,189.9508128,343.5498528,2064.3710976,1702.9013568,2591.2158048,2934.7656576
sub-NDARAB055BPR,0,0,2908.1563648,3464.69966912,3380.21977472,2649.596688,2594.30075712,3110.90811136,2403.32499584,2371.58103552,2974.7162816,2926.0763424,3255.80393024,4312.05860992,5036.02570496,4260.85867392,4481.01839872,4276.73065408,3503.09962112,2575.3567808,3029.50021312,4014.0749824,3760.6352992,3719.6753504,4084.73089408,3440.12369984,2583.0367712,2306.5571168,3272.69990912,4088.82688896,1407.48624064,1666.04591744,1452.03018496,1353.21430848,1338.36632704,1748.98981376,1250.30243712,1460.73417408,2017.2774784,2541.05282368,1257.98242752,1070.59066176,2562.04479744,3651.57943552,1695.74188032,1797.62975296,4229.1147136,5209.593488,2757.1165536,3275.77190528,3878.395152,3270.65191168,1929.72558784,1947.13356608,3371.5157856,2027.00546624,2888.70038912,3927.54709056,2353.66105792,2270.20516224,992.76675904,1661.94992256,1732.09383488,1625.08596864,3333.1158336,2946.04431744,1276.92640384,1589.24601344,2098.68537664,2723.32459584,2494.46088192,2338.30107712,1691.64588544,1502.7181216,2973.69228288,3059.196176,2032.12545984,2060.28542464,1923.06959616,2270.7171616,2343.93307008,1131.5185856,1776.12577984,2404.86099392,2996.22025472,3805.69124288,2514.42885696,3078.14015232,2953.72430784,4874.2339072,892.92688384,436.73545408,1228.798464,804.86299392,2039.80545024,1565.18204352,1479.16615104,1539.58207552,2073.08540864,1337.34232832,1952.76555904,1351.6783104,2159.61330048,2207.22924096,3678.7154016,4005.88299264,4217.85072768,3904.50711936,4771.32203584,4366.84254144,438.78345152,393.21550848,471.0394112,538.62332672,556.03130496,468.4794144,504.83136896,386.5595168,221.18372352,460.799424,546.81531648,649.72718784,1273.34240832,1382.398272,1435.13420608,971.77478528,1660.41392448,2373.1170336,2135.0373312,2301.4371232,1925.62959296,1409.53423808,2014.20548224,2009.597488,1718.26985216,1929.72558784,4838.90595136,5603.8329952,3766.26729216,5022.20172224,4544.50631936,4362.74654656,5197.81750272,5604.34499456,7644.1504448,5819.38472576,4619.77022528,5698.04087744,2118.14135232,2110.46136192,2288.12513984,2810.36448704,3519.9956,4746.2340672,2955.26030592,3705.85136768,3646.45944192,3712.50735936,2739.70857536,2635.26070592,2837.50045312,2777.08452864,2484.73289408,1900.54162432,1356.798304,1065.98266752,957.95080256,893.95088256,1131.5185856,1017.34272832,1085.4386432,1179.13452608,1221.1184736,1079.80665024,1772.02978496,1300.4783744,1746.94181632,1627.64596544,657.9191776,1192.9585088,3033.08420864,2385.40501824,1440.25419968,1264.6384192,2202.10924736,1487.3581408,2807.80449024,2393.08500864,3559.41955072,2422.26897216,2310.65311168,2945.02031872,3436.53970432,3570.17153728,2742.78057152,2630.14071232,3576.3155296,4256.76267904,4349.4345632,4290.5546368,3826.68321664,4164.09079488,3799.54725056,4109.30686336,4643.8341952,4300.28262464,5310.96936128,5055.48168064,2790.90851136,3014.14023232,2382.33302208,3523.57959552,513.02335872,670.7191616,219.64772544,336.89557888,2151.42131072,1674.74990656,2687.48464064,3012.60423424
sub-NDARAB282FDJ,0,0,3243.5321632,4048.91118336,3571.72539392,2843.14666176,2843.14666176,3400.20475072,2349.57681088,2377.22491456,3191.81996928,3170.82789056,3739.66202368,5070.86701568,5981.71843136,4910.0984128,5518.86869568,4805.65002112,3958.79884544,3018.76332032,3978.2549184,4851.73019392,5041.68290624,4433.9366272,4242.95991104,3547.66130368,2793.48247552,2667.01800128,4160.0156,4764.1778656,1736.19851072,1929.22323456,1981.4474304,1589.25395968,1589.7659616,1936.39126144,1908.23115584,1774.0866528,2656.26596096,3241.48415552,1416.19731072,1418.75732032,3089.41958528,4280.3360512,2309.1286592,2040.83965312,4988.94670848,5748.75755776,2951.6910688,3468.813008,4822.03408256,3709.96591232,2821.64258112,2292.74459776,4046.86317568,2318.85669568,3094.53960448,4618.76932032,2793.48247552,2564.61761728,892.93134848,1819.14282176,2089.99183744,1847.30292736,4023.82308928,3547.66130368,1455.62145856,1796.61473728,2191.88021952,2876.93878848,3386.38069888,3245.58017088,1795.07873152,1542.66178496,3384.84469312,3340.30052608,2390.02496256,2250.2484384,2234.8883808,3188.74795776,2649.609936,1249.2846848,2204.1682656,3126.28372352,3408.39678144,4865.55424576,2733.57825088,3664.90974336,3617.80556672,5813.7818016,1210.37253888,593.41022528,1427.46135296,1024.00384,2277.38454016,1871.87901952,1847.81492928,2006.02352256,2241.03240384,1624.58209216,2556.42558656,1772.03864512,2722.82621056,2829.83461184,4650.51343936,4985.87469696,5199.89149952,4708.88165824,5539.8607744,5416.46831168,640.0024,511.48991808,523.26596224,628.73835776,565.7621216,531.96999488,617.47431552,418.81757056,317.4411904,570.8821408,592.38622144,752.6428224,1603.59001344,1598.98199616,1552.90182336,1146.8843008,2014.21555328,2819.59457344,2530.82549056,2736.6502624,2225.67234624,1605.1260192,2430.47311424,2218.50431936,2051.07969152,2242.5684096,5072.91502336,5798.93374592,4264.46399168,5380.62817728,4800.018,4953.618576,5612.05304512,6527.51247808,7797.7892416,6976.53816192,5246.99567616,6564.37661632,2698.2501184,2520.07345024,2847.75467904,3203.59601344,4461.07272896,5654.03720256,3615.24555712,4362.76836032,4377.10441408,4393.48847552,3162.63585984,3015.17930688,3805.71027136,3381.26067968,3249.16418432,2244.10441536,1440.26140096,1126.91622592,1239.55664832,1063.42798784,1412.61329728,1282.5648096,1250.30868864,1446.405424,1357.82909184,1168.38838144,2050.05568768,1540.61377728,2079.23979712,1889.79908672,852.4831968,1730.05448768,4086.79932544,3237.38814016,1915.91118464,1774.0866528,2728.45823168,2029.57561088,3337.22851456,2970.12313792,4928.01848,3485.70907136,2813.96255232,3500.55712704,3890.19058816,4409.36053504,3009.54728576,3189.25995968,4461.58473088,5431.31636736,5301.7798816,5450.77244032,4029.4551104,4253.71195136,4140.55952704,4317.71219136,4911.12241664,5329.9399872,5596.1809856,5096.9791136,2925.57897088,3537.42126528,2935.81900928,4016.14306048,652.29044608,927.74747904,276.99303872,437.7616416,2652.68194752,2169.86413696,3366.412624,3704.3338912
sub-NDARAB977GFB,0,0,2439.6891488,2923.5309632,2743.30628736,2297.86461696,2245.64042112,2746.37829888,1827.8468544,1750.53456448,2480.13730048,2385.41694528,2851.8506944,3946.51079936,4331.02424128,3669.51776064,3881.48655552,3547.66130368,2754.05832768,2253.32044992,2659.8499744,3451.40494272,3385.35669504,3045.89942208,3253.7722016,2764.29836608,2016.26356096,1921.54320576,2814.47455424,3322.8924608,1257.47671552,1527.30172736,1470.98151616,1169.41238528,1254.91670592,1519.62169856,1366.53312448,1327.62097856,2096.6478624,2360.84085312,1172.4843968,1167.87637952,2418.69707008,3200.52400192,1888.26308096,1382.91718592,3940.87877824,4705.80964672,2501.1293792,3042.31540864,3891.214592,3165.19586944,2268.1685056,1734.66250496,3450.8929408,1894.407104,2455.0492064,3358.7325952,2159.11209664,2181.1281792,750.0828128,1410.5652896,1698.31036864,1500.1656256,3202.5720096,2953.22707456,1230.34061376,1553.9258272,1854.47095424,2480.13730048,2310.66466496,2368.52088192,1747.46255296,1357.82909184,2992.13922048,2762.76236032,2059.78372416,2074.63177984,1842.69491008,2222.0883328,2137.09601408,1067.5240032,1685.51032064,2479.62529856,2471.94526976,3521.03720384,2168.84013312,2934.28300352,2978.31516864,4901.90638208,929.79548672,435.201632,1133.06024896,891.90734464,1440.77340288,1370.11713792,1405.95727232,1445.38142016,1687.0463264,1496.58161216,1968.13538048,1369.605136,2261.00047872,2323.97671488,3465.22899456,4078.0952928,4247.0559264,3675.14978176,4889.618336,4520.9769536,457.21771456,419.8415744,507.39390272,603.13826176,583.6821888,520.19395072,599.0422464,395.77748416,219.13682176,481.79380672,579.58617344,733.18674944,1283.58881344,1352.70907264,1269.25275968,976.38766144,1563.14186176,2320.90470336,2061.83173184,2077.70379136,1827.8468544,1302.02088256,1816.58281216,1990.15146304,1441.2854048,1792.00672,4420.62457728,5226.00359744,3348.4925568,4516.36893632,4334.60825472,4351.50431808,4823.57008832,5795.34973248,6854.16970304,5754.9015808,4970.00263744,5429.26835968,2137.608016,1986.05544768,2415.62505856,2944.52304192,3594.2534784,4601.36125504,2903.0508864,3757.58209088,3813.39030016,3729.42198528,2829.83461184,2548.74555776,3024.90734336,2859.5307232,2365.4488704,1915.91118464,1351.17306688,1041.9239072,976.89966336,818.69107008,1270.78876544,966.65962496,1039.3638976,1134.0842528,1295.87685952,1056.77196288,1747.46255296,1218.5645696,1777.67066624,1666.05424768,722.94671104,1273.34877504,3300.87637824,2447.88117952,1450.50143936,1303.0448864,2003.46351296,1449.47743552,2855.94670976,2515.97743488,3644.42966656,2418.18506816,2300.42462656,3074.05952768,3701.7738816,4137.48751552,2793.99447744,3070.47551424,3570.18938816,4216.3358112,4468.75275776,4672.01752,3810.31828864,4020.23907584,3735.56600832,4033.03912384,4907.5384032,4920.85045312,5281.2998048,4631.56936832,2768.90638336,3007.49927808,2436.10513536,3272.20427072,518.65794496,729.602736,217.08881408,357.88934208,2416.13706048,1972.23139584,2872.3307712,3203.59601344
sub-NDARAC350XUM,0,0,3235.34013248,3957.26283968,3555.8533344,2855.43470784,2824.20259072,3577.35741504,2404.36101632,2357.7688416,3149.83581184,3006.98727616,3669.00575872,5224.9795936,5666.32524864,4996.62673728,5145.10729408,4691.47359296,3887.11857664,2722.31420864,3724.30196608,4848.14618048,5051.41094272,4522.00095744,4113.9354272,3536.39726144,2686.98607616,2427.40110272,4247.0559264,4783.12193664,1790.98271616,1878.53504448,2186.2481984,1647.11017664,1845.25491968,1944.58329216,2093.06384896,1904.6471424,2990.0912128,3324.94046848,1809.41478528,1563.65386368,3016.20331072,4118.03144256,2518.02544256,2261.00047872,5468.1805056,6091.79884416,2898.44286912,3725.83797184,4903.95438976,3874.31852864,2972.1711456,2517.00143872,4309.52016064,2523.65746368,3215.3720576,4396.04848512,2797.06648896,2772.4903968,1047.55592832,1675.27028224,2392.58497216,2079.23979712,4400.14450048,3873.2945248,1660.42222656,1980.42342656,2450.95319104,3140.61977728,2765.83437184,2976.26716096,1853.4469504,1751.55856832,3661.83773184,3644.94166848,2308.61665728,2433.54512576,2118.15194304,3076.61953728,2696.20211072,1369.09313408,2001.41550528,2983.94718976,3170.31588864,4231.6958688,2739.72227392,3851.27844224,3283.46831296,6183.44718784,1057.79596672,550.91406592,1425.9253472,991.74771904,1966.0873728,1790.47071424,1741.31852992,1831.94286976,2208.77628288,1716.74243776,2329.09673408,1622.53408448,2588.68170752,2674.18602816,4320.78420288,5003.28276224,5085.20306944,4530.70499008,5772.30964608,5573.1408992,580.09817536,529.9219872,556.54608704,690.69059008,665.09049408,567.29812736,637.95439232,470.01776256,285.18506944,593.9222272,631.29836736,812.54704704,1548.29380608,1834.50287936,1570.30988864,1326.0849728,2402.82501056,3124.23571584,3131.91574464,3008.52328192,2584.07369024,1875.46303296,2712.58617216,2498.05736768,2514.95343104,2485.7693216,6624.79284288,7141.40278016,4887.57032832,6275.09553152,5656.59721216,5660.1812256,6193.68722624,6686.7450752,8918.04944256,7808.02928,5886.99807616,7175.19490688,3125.25971968,2817.54656576,3354.63657984,3776.52616192,4615.6973088,5598.22899328,4195.8557344,5114.38717888,4630.54536448,4851.218192,3670.54176448,3423.24483712,3743.24603712,3788.30220608,3323.91646464,2385.9289472,1630.21411328,1270.27676352,1308.1649056,1191.94046976,1614.85405568,1359.3650976,1311.74891904,1565.70187136,1615.3660576,1328.13298048,2296.3286112,1677.83029184,2367.49687808,2250.2484384,954.8835808,1693.19034944,3932.68674752,3097.611616,1724.93446848,1638.406144,2509.32140992,1856.00696,3481.613056,3157.51584064,4924.94646848,3179.5319232,2634.2498784,3420.1728256,3940.87877824,4421.1365792,2991.62721856,3155.46783296,4301.84013184,5021.71483136,5169.17138432,5124.62721728,4810.77004032,4789.7779616,4596.75323776,5164.05136512,5410.83629056,5324.30796608,6356.5038368,5704.72539264,3408.90878336,3586.5734496,3363.34061248,4060.68722752,649.73043648,1007.10777664,244.73691776,486.401824,2928.13898048,2438.15314304,3216.39606144,3871.24651712
sub-NDARAC853CR6,0,0,3257.32771328,4014.57192704,3665.9016704,2982.89708544,3019.24890368,3694.0615296,2624.49887744,2447.3477632,3349.48725248,3116.52841728,3857.9007104,5202.91798528,6098.91350528,4986.8550656,5239.26980352,4911.07944448,3907.05246464,3077.1046144,3527.15036416,4998.63100672,4623.84888064,4691.43254272,4323.30638336,3717.1014144,2804.20997888,2808.81795584,3734.50932736,4725.22437376,1719.28740352,2015.73392128,1883.63858176,1673.71963136,1655.28772352,1977.33411328,1824.24687872,1960.43819776,2661.36269312,3238.89580544,1643.5117824,1514.48842752,2863.08968448,3950.0602496,2458.09970944,2151.92524032,5345.2532736,6324.70437632,2898.41750784,3698.15750912,5485.54057216,4019.179904,2802.67398656,2395.12402432,4196.33101824,2591.73104128,3371.5031424,4635.62482176,2948.08125952,2739.69830144,1163.77018112,1800.69499648,2259.44470272,2086.90156544,4058.60370688,3930.60434688,1528.3123584,1797.1110144,2452.4677376,3079.15260416,3138.03230976,3177.45611264,2079.73360128,1696.24751872,3859.43670272,3514.8624256,2566.13116928,2749.93825024,2264.56467712,3027.44086272,2786.29006848,1321.46539264,2044.40577792,3052.52873728,2955.24922368,4311.0184448,2821.1058944,3865.580672,3381.7430912,5749.21925376,1156.09021952,528.89335552,1748.98325504,1178.10610944,2170.8691456,1975.79812096,1681.39959296,1684.98357504,2442.73978624,1841.14279424,2366.45216768,1838.58280704,2620.91489536,2858.99370496,5019.62290176,5369.31715328,5573.60413184,5166.56616704,6612.95893504,6438.367808,634.36482816,532.98933504,611.32494336,698.8765056,722.94038528,618.49290752,672.76463616,470.01364992,325.63037184,602.62098688,714.74842624,916.98741504,1714.16742912,1900.53449728,1703.92748032,1279.9936,2091.5095424,2681.33059328,2519.0274048,2607.09096448,2168.82115584,1638.90380544,2345.97227008,2308.08445952,1955.31822336,2067.95766016,5643.74778112,6307.29646336,4120.04339968,5190.11804928,4961.2551936,4920.2953984,5599.20400384,6383.07208448,8436.18181888,7155.67622144,5655.0117248,6759.39020288,2601.97099008,2418.67590656,2793.45803264,3222.51188736,4645.86477056,5885.4105728,3693.54953216,4599.78500096,4767.20816384,4987.36706304,3387.37506304,3208.68795648,3678.18960896,3795.94902016,3447.79076096,2264.05267968,1487.86456064,1060.85869568,1361.9131904,1135.61032192,1501.17649408,1244.66577664,1272.82563584,1468.92065536,1473.01663488,1203.70598144,2219.5089024,1626.61586688,2233.33283328,2152.43723776,843.25978368,1660.40769792,3717.1014144,3045.36077312,1847.79876096,1764.85517568,2326.51636736,1842.67878656,3151.85624064,2822.64188672,4687.3365632,3138.5443072,2793.97003008,3765.7411712,4099.05150464,4705.76847104,3037.16881408,3180.01609984,4730.8563456,5849.570752,5787.61906176,5873.63463168,4455.91372032,4560.36119808,4402.66598656,5055.46272256,5294.0535296,5401.06099456,6092.25753856,5915.10642432,3182.57608704,3820.01289984,3084.27257856,3906.5404672,654.84472576,970.74714624,284.1585792,476.1576192,2907.63346176,2489.84355072,3569.64615168,4043.24378368
sub-NDARAC904DMU,0,0,2751.64224,3310.67355648,2930.818944,2531.5108608,2517.68865792,3055.21876992,2091.2481024,1856.27065344,3059.31423744,2667.68515584,3157.09352448,4431.80779008,5317.45264128,4638.1169664,4201.43774208,4082.669184,3099.7569792,2250.97133568,3284.56495104,4145.63699712,3948.54262272,3828.23826432,3574.31927808,3323.98382592,2205.40925952,2036.98315776,3446.84785152,4227.03441408,1291.09613568,1690.91615232,1431.87783168,1410.3766272,1238.8789248,1876.74799104,1391.43508992,1612.07840256,2250.45940224,3011.70442752,1407.30502656,1433.413632,2897.5432704,3972.09156096,2001.6597504,1692.45195264,4599.21002496,5063.0217216,3165.28445952,3559.47320832,4469.69086464,3745.30504704,2222.30306304,1984.25401344,3809.80866048,2290.902144,2970.74975232,3662.37182976,2717.85463296,2441.41057536,1065.33348864,1553.7179904,2335.44035328,1947.39480576,3608.10688512,3532.85266944,1477.95184128,1735.96629504,2493.62778624,2902.6626048,2443.45830912,2715.29496576,2013.43421952,1570.09986048,3834.3814656,3437.12111616,2487.48458496,2159.84718336,2122.98797568,2847.88572672,2807.9549184,1302.35867136,2051.31729408,2799.25204992,3286.10075136,4270.03682304,2639.52881664,3372.61750272,3638.31095808,5696.79532032,1111.91943168,586.67572224,1250.14146048,923.01599232,2070.7707648,1857.29452032,1885.45085952,1805.07730944,1997.56428288,1429.31816448,2152.6801152,1564.98052608,2768.02411008,2678.43575808,4142.05346304,5101.92866304,4666.2733056,4630.4379648,5126.50146816,5201.75568384,550.328448,534.45851136,570.29385216,711.5874816,645.0361344,607.15305984,609.71272704,490.94416896,269.78892288,564.15065088,590.25925632,767.38822656,1456.96257024,1558.32539136,1457.98643712,1098.60916224,1902.34466304,2387.14563072,2304.21241344,2339.02388736,2222.81499648,1593.64879872,2215.13599488,2026.23255552,1835.79331584,2170.08585216,5436.22119936,6193.37075712,4169.18593536,5197.66021632,5118.82246656,5069.67685632,5379.39658752,6075.11413248,7862.78570496,6593.7027072,5474.10427392,6283.47104256,2503.3545216,2207.45699328,2838.6709248,3095.14957824,4370.88771072,5388.61138944,3706.3981056,4477.88179968,4183.00813824,4316.62276608,3403.84544256,3144.80712192,3358.79529984,3340.365696,3027.57436416,2052.8530944,1566.00439296,1238.8789248,1173.35144448,1078.13182464,1337.68207872,1245.02212608,1294.67966976,1504.06044672,1558.8373248,1279.32166656,2160.3591168,1647.40180992,2063.0917632,1953.0260736,916.3608576,1539.38385408,3731.48284416,2908.80580608,1620.2693376,1463.61770496,2535.60632832,1766.170368,3348.55663104,2970.74975232,4581.29235456,2963.58268416,2598.57414144,3957.2454912,4424.64072192,4995.44650752,3043.95623424,3795.47452416,4121.57612544,5161.82487552,5046.12791808,5167.9680768,4409.79465216,5342.0254464,3982.33022976,4790.16119808,5161.82487552,6327.4973184,5366.59825152,6198.49009152,3371.0817024,3633.19162368,2952.32014848,3941.37555456,544.69718016,892.81191936,222.6910464,456.13269504,2548.40466432,2280.6634752,2992.2509568,3592.74888192
