"ROI","BN_ID","Shirer_network","bmap","NMDA"
105,105,"high_Visual",0.624324241605312,6.84816662387953
106,106,"high_Visual",0.576944503241579,6.67926949481623
189,189,"high_Visual",0.562415849757948,6.83930980325749
190,190,"high_Visual",0.353559921349051,6.72705795846263
193,193,"high_Visual",0.474511280898059,6.35379062549396
196,196,"high_Visual",0.611232415343571,7.12029671737862
199,199,"high_Visual",0.473347419144172,5.91498370387054
200,200,"high_Visual",0.344013682714874,5.75229755717849
201,201,"high_Visual",0.495090448733545,6.28630605289374
202,202,"high_Visual",0.460293112790753,6.03535125700449
203,203,"high_Visual",0.471882209948485,5.17664175448915
204,204,"high_Visual",0.299526936012102,5.09181144261714
205,205,"high_Visual",0.471235245559229,6.01822869492424
206,206,"high_Visual",0.369055829622363,5.94139904470227
