"","Mode1","Mode2","Mode3"
"Age",0.992020277987117,-0.0981869526089276,-0.0790891294662934
"Reading Comprehension",0.217260725747454,0.576539838422318,0.787654487551271
"Word Reading",0.173413206115954,0.984477015570452,-0.0270714934586703
