"brain","fitted_beh","ci_lower","ci_upper"
-3.60948706119282,-0.805740893763562,-1.06761548986676,-0.543866297660368
-3.57116482064088,-0.79718627205974,-1.05647945733062,-0.537893086788857
-3.53284258008893,-0.788631650355918,-1.04534543588594,-0.531917864825897
-3.49452033953699,-0.780077028652095,-1.03421348676842,-0.525940570535771
-3.45619809898505,-0.771522406948273,-1.02308367367308,-0.519961140223465
-3.4178758584331,-0.762967785244451,-1.01195606287614,-0.513979507612764
-3.37955361788116,-0.754413163540629,-1.00083072336403,-0.507995603717225
-3.34123137732922,-0.745858541836807,-0.989707726970102,-0.502009356703512
-3.30290913677727,-0.737303920132985,-0.978587148519349,-0.496020691746622
-3.26458689622533,-0.728749298429163,-0.967469065981923,-0.490029530876403
-3.22626465567339,-0.720194676725341,-0.956353560635866,-0.484035792814816
-3.18794241512144,-0.711640055021519,-0.945240717239779,-0.478039392803259
-3.1496201745695,-0.703085433317697,-0.934130624216096,-0.472040242419297
-3.11129793401756,-0.694530811613875,-0.923023373845711,-0.466038249382038
-3.07297569346561,-0.685976189910053,-0.911919062474745,-0.46003331734536
-3.03465345291367,-0.677421568206231,-0.900817790734329,-0.454025345678132
-2.99633121236173,-0.668866946502409,-0.889719663774318,-0.448014229230499
-2.95800897180978,-0.660312324798586,-0.878624791511946,-0.441999858085227
-2.91968673125784,-0.651757703094764,-0.867533288896497,-0.435982117293032
-2.8813644907059,-0.643203081390942,-0.856445276191159,-0.429960886590725
-2.84304225015395,-0.63464845968712,-0.845360879273318,-0.423936040100922
-2.80472000960201,-0.626093837983298,-0.834280229954651,-0.417907446011945
-2.76639776905007,-0.617539216279476,-0.823203466322485,-0.411874966236468
-2.72807552849812,-0.608984594575654,-0.812130733104005,-0.405838456047303
-2.68975328794618,-0.600429972871832,-0.801062182055029,-0.399797763688635
-2.65143104739424,-0.59187535116801,-0.789997972375191,-0.393752729960829
-2.61310880684229,-0.583320729464188,-0.778938271151536,-0.38770318777684
-2.57478656629035,-0.574766107760366,-0.767883253832698,-0.381648961688034
-2.53646432573841,-0.566211486056544,-0.756833104735976,-0.375589867377112
-2.49814208518646,-0.557656864352722,-0.745788017589857,-0.369525711115586
-2.45981984463452,-0.5491022426489,-0.734748196114699,-0.3634562891831
-2.42149760408258,-0.540547620945077,-0.723713854644526,-0.357381387245629
-2.38317536353063,-0.531992999241255,-0.71268521879312,-0.351300779689391
-2.34485312297869,-0.523438377537433,-0.701662526167862,-0.345214228907004
-2.30653088242675,-0.514883755833611,-0.69064602713501,-0.339121484532212
-2.2682086418748,-0.506329134129789,-0.679635985640442,-0.333022282619136
-2.22988640132286,-0.497774512425967,-0.668632680090167,-0.326916344761767
-2.19156416077092,-0.489219890722145,-0.657636404295262,-0.320803377149028
-2.15324192021897,-0.480665269018323,-0.646647468486228,-0.314683069550418
-2.11491967966703,-0.472110647314501,-0.635666200402148,-0.308555094226853
-2.07659743911509,-0.463556025610679,-0.624692946460411,-0.302419104760947
-2.03827519856314,-0.455001403906857,-0.613728073013163,-0.296274734800551
-1.9999529580112,-0.446446782203035,-0.602771967697108,-0.290121596708962
-1.96163071745926,-0.437892160499213,-0.591825040883662,-0.283959280114763
-1.92330847690731,-0.42933753879539,-0.580887727236955,-0.277787350353826
-1.88498623635537,-0.420782917091568,-0.569960487387568,-0.271605346795569
-1.84666399580343,-0.412228295387746,-0.559043809730357,-0.265412781045136
-1.80834175525148,-0.403673673683924,-0.548138212355103,-0.259209135012746
-1.77001951469954,-0.395119051980102,-0.537244245119077,-0.252993858841127
-1.7316972741476,-0.38656443027628,-0.526362491870957,-0.246766368681604
-1.69337503359565,-0.378009808572458,-0.5154935728357,-0.240526044309217
-1.65505279304371,-0.369455186868636,-0.504638147170131,-0.234272226567141
-1.61673055249177,-0.360900565164814,-0.493796915698921,-0.228004214630707
-1.57840831193982,-0.352345943460992,-0.482970623840376,-0.221721263081608
-1.54008607138788,-0.34379132175717,-0.472160064730963,-0.215422578783376
-1.50176383083594,-0.335236700053348,-0.461366082556597,-0.209107317550098
-1.46344159028399,-0.326682078349526,-0.450589576097457,-0.202774580601594
-1.42511934973205,-0.318127456645704,-0.43983150249127,-0.196423410800137
-1.3867971091801,-0.309572834941881,-0.429092881217514,-0.190052788666249
-1.34847486862816,-0.301018213238059,-0.418374798301713,-0.183661628174406
-1.31015262807622,-0.292463591534237,-0.407678410734717,-0.177248772333758
-1.27183038752427,-0.283908969830415,-0.397004951096415,-0.170812988564416
