analysis,network,n_ROI,t,df,r,CI_low,CI_high,p,fdrp,Full_report,Full_report_FDR
cmi_reading,Sensorimotor,14,0.957828387,12,0.266501439,-0.30756828,0.698336079,0.357049895,0.47602829,"t(12) = 0.96, p = 0.357, r = 0.27, 95% CI [-0.31, 0.70]","t(12) = 0.96, p = 0.357, r = 0.27, 95% CI [-0.31, 0.70], FDR-corrected p = 0.476"
cmi_reading,vDMN,19,0.505607018,17,0.121715973,-0.351950743,0.545753535,0.619625183,0.671260615,"t(17) = 0.51, p = 0.620, r = 0.12, 95% CI [-0.35, 0.55]","t(17) = 0.51, p = 0.620, r = 0.12, 95% CI [-0.35, 0.55], FDR-corrected p = 0.671"
cmi_reading,pSalience,10,1.745447461,8,0.525161313,-0.156070556,0.867833727,0.119054327,0.257951041,"t(8) = 1.75, p = 0.119, r = 0.53, 95% CI [-0.16, 0.87]","t(8) = 1.75, p = 0.119, r = 0.53, 95% CI [-0.16, 0.87], FDR-corrected p = 0.258"
cmi_reading,high_Visual,14,3.727077698,12,0.732475541,0.330238951,0.909564912,0.002889295,0.01878042,"t(12) = 3.73, p = 0.003, r = 0.73, 95% CI [0.33, 0.91]","t(12) = 3.73, p = 0.003, r = 0.73, 95% CI [0.33, 0.91], FDR-corrected p = 0.019"
cmi_reading,Precuneus,5,5.055124814,3,0.946011082,0.385475762,0.99653538,0.01493627,0.064723835,"t(3) = 5.06, p = 0.015, r = 0.95, 95% CI [0.39, 1.00]","t(3) = 5.06, p = 0.015, r = 0.95, 95% CI [0.39, 1.00], FDR-corrected p = 0.065"
cmi_reading,prim_Visual,6,1.018158657,4,0.453674844,-0.566441756,0.924755191,0.366175608,0.47602829,"t(4) = 1.02, p = 0.366, r = 0.45, 95% CI [-0.57, 0.92]","t(4) = 1.02, p = 0.366, r = 0.45, 95% CI [-0.57, 0.92], FDR-corrected p = 0.476"
stanford_math,aSalience,24,2.625465001,22,0.488437967,0.10590895,0.74503688,0.015447546,0.04016362,"t(22) = 2.63, p = 0.015, r = 0.49, 95% CI [0.11, 0.75]","t(22) = 2.63, p = 0.015, r = 0.49, 95% CI [0.11, 0.75], FDR-corrected p = 0.040"
stanford_math,LECN,8,-0.489790772,6,-0.19607488,-0.791400994,0.590136405,0.641673634,0.758341567,"t(6) = -0.49, p = 0.642, r = -0.20, 95% CI [-0.79, 0.59]","t(6) = -0.49, p = 0.642, r = -0.20, 95% CI [-0.79, 0.59], FDR-corrected p = 0.758"
stanford_math,RECN,13,0.363840932,11,0.109047958,-0.470188038,0.622623652,0.722873319,0.783112762,"t(11) = 0.36, p = 0.723, r = 0.11, 95% CI [-0.47, 0.62]","t(11) = 0.36, p = 0.723, r = 0.11, 95% CI [-0.47, 0.62], FDR-corrected p = 0.783"
stanford_math,dDMN,23,3.557865129,21,0.61325729,0.269072998,0.818543211,0.001860027,0.009519963,"t(21) = 3.56, p = 0.002, r = 0.61, 95% CI [0.27, 0.82]","t(21) = 3.56, p = 0.002, r = 0.61, 95% CI [0.27, 0.82], FDR-corrected p = 0.010"
stanford_math,Visuospatial,24,1.069682877,22,0.222348271,-0.198887573,0.574238877,0.296358435,0.452758077,"t(22) = 1.07, p = 0.296, r = 0.22, 95% CI [-0.20, 0.57]","t(22) = 1.07, p = 0.296, r = 0.22, 95% CI [-0.20, 0.57], FDR-corrected p = 0.453"
stanford_math,Language,19,-0.126595707,17,-0.030689506,-0.478232491,0.429506874,0.900745665,0.900745665,"t(17) = -0.13, p = 0.901, r = -0.03, 95% CI [-0.48, 0.43]","t(17) = -0.13, p = 0.901, r = -0.03, 95% CI [-0.48, 0.43], FDR-corrected p = 0.901"
stanford_math,Auditory,39,4.173491598,37,0.565754644,0.304612523,0.747787678,0.000174417,0.002267418,"t(37) = 4.17, p = 1.74e-04, r = 0.57, 95% CI [0.30, 0.75]","t(37) = 4.17, p = 1.74e-04, r = 0.57, 95% CI [0.30, 0.75], FDR-corrected p = 0.002"
