"","Full","7-8.9y","9-10.9y","11-13.9y"
"Full",1,0.956292941606926,0.97154118730054,0.945605949772016
"7-8.9y",0.956292941606926,1,0.895623831650119,0.861482754683456
"9-10.9y",0.97154118730054,0.895623831650119,1,0.892937531890856
"11-13.9y",0.945605949772016,0.861482754683456,0.892937531890856,1
