"","Full","7-8.9y","9-10.9y","11-13.9y"
"Full",1,0.955794430997776,0.955926878952264,0.924420882537539
"7-8.9y",0.955794430997776,1,0.857321420788609,0.846255986815812
"9-10.9y",0.955926878952264,0.857321420788609,1,0.851465901382933
"11-13.9y",0.924420882537539,0.846255986815812,0.851465901382933,1
