"Full","7-8.9y","9-10.9y","11-13.9y"
0.572368478631407,0.622578526863866,0.566498498885657,0.59668735078387
0.607003414521521,0.651231317677728,0.60010465301849,0.643334236909923
0.547698186114104,0.60642606811463,0.537718450865278,0.555591732750185
0.551916360356705,0.608526760567647,0.537695645689138,0.569042093120008
0.57369093183777,0.616234978816281,0.572096399991065,0.572378094941077
0.563224244563409,0.620912275807813,0.547711028207533,0.569317432682195
0.567922422553093,0.615773089887768,0.562176579809207,0.594285250749474
0.569711142953847,0.610105441608832,0.579338399945089,0.578165764249718
0.628161362021234,0.679645850874881,0.632047703268165,0.655070790539943
0.624967250047677,0.649684079109935,0.633940098307135,0.678261461678141
0.545587725553614,0.61591496406423,0.542204926000102,0.512742017699915
0.551922887140386,0.625249299872511,0.526334637926971,0.547455993315246
0.536122581083113,0.591061788361636,0.509622013492101,0.523263134625845
0.538173992861265,0.605446818843617,0.501551644015349,0.512660355415991
0.468423510146478,0.548514176691941,0.460085159085501,0.406304345399047
0.487375570893014,0.57700976189864,0.460842707032718,0.455312492986692
0.558124785406278,0.633196459017474,0.542980078856822,0.546667286174674
0.552532500392574,0.629465359334801,0.541451641100146,0.519843181423116
0.475529210705613,0.535002094978899,0.466786792007581,0.423154674489823
0.491557443059024,0.563034105284579,0.470319638161532,0.454185106376143
0.512121458417655,0.573475700423685,0.517872270109626,0.468942043913994
0.535757803303889,0.603686400707216,0.540806336836869,0.492347068865751
0.50305516902307,0.573866747930629,0.487733968051101,0.488757672295964
0.539099153737633,0.620023272484983,0.512869222059009,0.513922703737303
0.53433918914286,0.600474038007125,0.515342086571866,0.523270297975576
0.537498949632669,0.589481646725847,0.537986658830539,0.531593248806688
0.508760647315292,0.499483151333377,0.521174593892248,0.53095310285925
0.538028206594296,0.562654314075711,0.51588263867641,0.550244171235756
0.576255969641838,0.626012781356648,0.572188919391113,0.56245597268134
0.575418587243686,0.653105595092282,0.565482721371904,0.526317417848599
0.522235286424813,0.566294974797005,0.539835906237348,0.485241674687662
0.534687365523321,0.602373190579063,0.545401099080272,0.466360838397992
0.581436936419565,0.601783709724079,0.5968456146244,0.569999589229771
0.6191601057532,0.666408103813218,0.649527125173559,0.561046748148349
0.49868089241903,0.534064649243661,0.54134320965555,0.419292805513134
0.54078546533783,0.586255232828416,0.581183605150357,0.456008318051032
0.628365688316251,0.66329549530197,0.657639533932117,0.587236154670497
0.655152075750112,0.713126960797409,0.674378865354162,0.605805130436587
0.6437826980293,0.669612724665367,0.674491461427798,0.600442588639392
0.648201140019651,0.698059830069434,0.657953959990214,0.58960047097499
0.645934773738324,0.639369478597445,0.629827589847046,0.692929137993288
0.704821739079909,0.720957241729045,0.677854669187475,0.734013576247852
0.55857931174905,0.590536386395576,0.566226232493256,0.532837797140053
0.549946004400995,0.586730427229555,0.574654514966859,0.504196602343305
0.596821782814678,0.633421356009318,0.586907181430996,0.580455015018727
0.649953704598416,0.685935300551554,0.642271948643404,0.635209800479874
0.588623346388129,0.584598123310898,0.563174112667901,0.652270427916455
0.585359190758619,0.61290308854691,0.536525885458408,0.627275841160096
0.705385050828621,0.734880590487721,0.68791185128775,0.695514349891132
0.687245245173905,0.719800835129473,0.642582817446682,0.695732276276421
0.581647970070339,0.623167575116857,0.605377580545491,0.530167757624506
0.599766561552555,0.647173501896252,0.626124336640618,0.550107778314907
0.627577124792696,0.689236924852094,0.636353817109966,0.579255076865656
0.66834821898233,0.713867859015202,0.665725465944241,0.643030681330564
0.54460159795009,0.64013918132392,0.530053097232602,0.521453515844739
0.586970149689372,0.639245840222214,0.580527820267402,0.608184751822824
0.609714647421148,0.641542670269094,0.630755899440128,0.633983428063967
0.608837665415686,0.648097655063227,0.622149619399631,0.611145662583196
0.49467801003473,0.553344561239702,0.499397131448439,0.495899010072573
0.602074697064484,0.634977230502993,0.612399438740276,0.633688884937812
0.699078358786561,0.712263324803964,0.718459390767573,0.664032350165208
0.694073802255662,0.726979548902874,0.709651564681816,0.638631933762719
0.617545564026825,0.684465735575777,0.610121885021493,0.56742125031389
0.620151466995625,0.686502238043972,0.612936072322508,0.556846701553626
0.683469555315708,0.702801275200004,0.703066460280385,0.695597935444817
0.752690051825641,0.752239056930585,0.770601414337789,0.777975180438301
0.65990404223023,0.702923617859944,0.674338625200896,0.670347487783812
0.680502062528867,0.702822086970728,0.697113359960771,0.714749320268746
0.425303018559841,0.504883485979407,0.38563075664273,0.378840669896083
0.449483537472547,0.486004229940278,0.429643402909076,0.472449242897935
0.663877310814655,0.638254228716593,0.686046254488385,0.704339663997661
0.702005521728525,0.693322695863599,0.719670818675334,0.706281005356725
0.721097462675146,0.705028127985476,0.741270914884796,0.72885858640659
0.723330530959739,0.715847172731512,0.724951970179612,0.745310909451194
0.589275012176256,0.584151148333357,0.587077299960129,0.658508176175524
0.650513668820054,0.652561567802681,0.653283661422493,0.693787792428248
0.493471210795371,0.545426071504916,0.487526253524019,0.469342364506411
0.531565268917625,0.569837667230037,0.510967518913349,0.572661511459853
0.537385477211089,0.537097885062521,0.560919928911988,0.546541465984967
0.645820152030659,0.651286432078803,0.636770998262929,0.679423455546111
0.528092965905547,0.541169503872027,0.555453827883957,0.550873527800324
0.595452710920984,0.604112700296706,0.61557226335629,0.627432059121572
0.434967665202389,0.484794546533265,0.42726763091888,0.438197037973232
0.459500117741058,0.492273104655439,0.437955953056629,0.50692900711317
0.455637465001956,0.490263298607547,0.468486153863101,0.457225387808896
0.51727296507199,0.528067251695476,0.535932178783943,0.54714056639078
0.527126590242509,0.538040655879142,0.563977380122535,0.507156319938537
0.618607956217179,0.619559631795972,0.623862932885137,0.655280436789567
0.583523125647505,0.594522094657665,0.605372541735086,0.591621847509673
0.522115630396019,0.55533769737925,0.526298373065088,0.543130088975084
0.484754823594963,0.491514084345443,0.524455531086039,0.483364742778174
0.446706844787025,0.465886681675548,0.442425203055896,0.479136437701812
0.41030084107574,0.473094258306227,0.403621333455235,0.391991845559349
0.436107759587769,0.484245816716805,0.422795389905979,0.453269393860793
0.451097357882096,0.509591994659654,0.442230460960356,0.449684434496753
0.484154435462472,0.542133124727888,0.464586531563471,0.508093587406783
0.477628513874594,0.498890609077655,0.510004420073488,0.479623876470882
0.491449383390931,0.502914838827287,0.48911697774836,0.549064275848341
0.513420439419175,0.511731038946935,0.5479994758708,0.521003440244909
0.5425809785963,0.533565677238492,0.549598144486442,0.599484772796338
0.533566186008043,0.544642520390524,0.573045645606853,0.511195118158627
0.603076449247505,0.592120094383465,0.629441870374834,0.621843754306211
0.604061667691447,0.629485917603128,0.626384192902634,0.591661133716164
0.619040578107467,0.635566479451779,0.650118972381608,0.616561694272972
0.624324241605312,0.639593748906593,0.622656532224383,0.649693838531631
0.576944503241579,0.581022088712848,0.559513196109588,0.632898524214753
0.569504583289061,0.575819837567295,0.596564918144676,0.568544829704819
0.576126971092474,0.563790471333174,0.58206101547157,0.627723031420028
0.517040382166511,0.563461915407055,0.506764711829862,0.50456218392001
0.543344253029199,0.538686661559094,0.58419653321652,0.552605493354551
0.629429283620283,0.643933264634655,0.695039689065565,0.54709870260739
0.619304462607801,0.60691293757218,0.680124690869661,0.590430901462756
0.686974999309354,0.690492219067994,0.740034320569678,0.624437959694858
0.638935560236274,0.625790431119379,0.680509196045404,0.617964121617794
0.569053619713228,0.611376464007485,0.575162196997357,0.573188079718364
0.518675851207828,0.550073272700567,0.553174196086842,0.496929980742905
0.461021287155657,0.492113944097563,0.421863784999651,0.489898693146341
0.48371442162095,0.498989844435741,0.501785426543985,0.506288265451727
0.631644672408644,0.669678401896322,0.651981704595641,0.621557831409263
0.65749220977976,0.672563540690229,0.679538807136568,0.633838157274047
0.523527121229425,0.529259743089955,0.55404691943234,0.522333751338238
0.553359081091953,0.539431994362235,0.591508511046621,0.555124336124654
0.477163557996984,0.458897089854878,0.524129410360668,0.488725443224398
0.563402554264474,0.576917362070385,0.596987722321567,0.530522995976555
0.532520724153305,0.601448482125187,0.520391829232818,0.52888105024497
0.549129453006482,0.574295342273879,0.61066237319722,0.540287342393796
0.539912188269545,0.603634627281284,0.506093655588757,0.549973415353492
0.524399837261525,0.550144231403757,0.539061816057904,0.564243539306978
0.506508615707608,0.542887807745266,0.526705554342535,0.475692889098117
0.555122544615684,0.602103096235348,0.592677081648878,0.491811120371149
0.565668662063489,0.623089765866746,0.588148046601829,0.543664262374523
0.600271032203906,0.633014795932078,0.637003131970924,0.602091317835572
0.53545192655894,0.589163562247136,0.545818650855953,0.502135525649308
0.547101805249101,0.58025647278686,0.58351596398815,0.52923170710561
0.485048775029583,0.514849160200123,0.495455804740274,0.464626779034208
0.488066062023964,0.495516442212372,0.506455328475637,0.492794024797749
0.404863377749078,0.487149376538876,0.391088111091925,0.359999875880129
0.449992331361391,0.499601995926044,0.476037383675688,0.409623971914008
0.465002601707415,0.497908316002285,0.495323804932746,0.441376612871866
0.49966369625594,0.521195422876008,0.544174896213885,0.454358990864563
0.43958029999963,0.479663072601272,0.447263472317226,0.429675414158541
0.486161381634129,0.51627354295556,0.528365708384694,0.438992376431884
0.451145256534695,0.477900414620912,0.461837420377785,0.44200784162535
0.490049643993407,0.517833465893607,0.529936593342356,0.428478357163229
0.671644807978807,0.645089761741944,0.707767132603393,0.693432328348396
0.667106094508542,0.670340908007716,0.698921431150643,0.644498719109757
0.638672345247785,0.668548811537009,0.630896593466748,0.678483828779737
0.623085899931003,0.623012886739617,0.632091271392712,0.695988512840897
0.691797946360829,0.70852211579208,0.706553165959845,0.709511717216367
0.726240066078751,0.722031961511952,0.756068338106142,0.764456578970473
0.687809438858168,0.687659111872592,0.676272884772335,0.738043626823252
0.707928782278473,0.728310241136023,0.701910922663111,0.71911337406037
0.724151497297737,0.712545535121981,0.72912042942344,0.770130800637784
0.724436175553746,0.724465567374559,0.714830964775276,0.7721025895491
0.61191953306098,0.646242015442829,0.636232887408521,0.570182592489748
0.637328699530764,0.662175667091033,0.650479845497312,0.615005048468306
0.737420998968237,0.722780286457065,0.76288641763152,0.741939196120097
