"","Mode1","Mode2","Mode3","Mode4","Mode5"
"Age",0.965262837121613,-0.238399768367292,0.104338263106539,0.00344190060742472,0.0231276001019433
"Numerical Operation",0.207329087232491,0.468579377108857,-0.302434149945614,0.639684307785321,-0.486606194222294
"Math Problem Solving",0.332490479207732,0.891641080554494,-0.284105295979514,0.0730178068517735,-0.0915360332479869
"Word Reading",0.188638078157679,0.672699403729283,0.601228635570634,0.203379923196909,-0.330230105080591
"Reading Comprehension",0.229820959673032,0.476851113536259,0.0705112481148876,-0.365523056771768,-0.762375498604003
