"brain","fitted_beh","ci_lower","ci_upper"
-3.48381876348345,-0.913472705798937,-1.16435406093647,-0.662591350661404
-3.45164682398666,-0.905037080808634,-1.15377852630006,-0.656295635317207
-3.41947488448988,-0.896601455818332,-1.14320453383433,-0.64999837780233
-3.3873029449931,-0.888165830828029,-1.13263212400778,-0.643699537648275
-3.35513100549631,-0.879730205837726,-1.12206133868576,-0.637399072989688
-3.32295906599953,-0.871294580847423,-1.11149222118983,-0.631096940505018
-3.29078712650275,-0.862858955857121,-1.10092481636002,-0.62479309535422
-3.25861518700596,-0.854423330866818,-1.09035917062033,-0.618487491113305
-3.22644324750918,-0.845987705876515,-1.07979533204744,-0.612180079705586
-3.1942713080124,-0.837552080886212,-1.06923335044303,-0.6058708113294
-3.16209936851561,-0.82911645589591,-1.05867327740969,-0.59955963438213
-3.12992742901883,-0.820680830905607,-1.04811516643093,-0.593246495380287
-3.09775548952204,-0.812245205915304,-1.03755907295517,-0.586931338875436
-3.06558355002526,-0.803809580925001,-1.02700505448429,-0.58061410736571
-3.03341161052848,-0.795373955934698,-1.01645317066674,-0.57429474120266
-3.00123967103169,-0.786938330944396,-1.00590348339564,-0.567973178493156
-2.96906773153491,-0.778502705954093,-0.995356056912144,-0.561649354996042
-2.93689579203813,-0.77006708096379,-0.984810957914353,-0.555323204013227
-2.90472385254134,-0.761631455973487,-0.974268255672087,-0.548994656274887
-2.87255191304456,-0.753195830983185,-0.963728022147975,-0.542663639818394
-2.84037997354777,-0.744760205992882,-0.953190332125154,-0.53633007986061
-2.80820803405099,-0.736324581002579,-0.94265526334203,-0.529993898663129
-2.77603609455421,-0.727888956012276,-0.932122896634527,-0.523655015390026
-2.74386415505742,-0.719453331021973,-0.921593316086295,-0.517313345957652
-2.71169221556064,-0.711017706031671,-0.911066609187366,-0.510968802875975
-2.67952027606386,-0.702582081041368,-0.900542867001797,-0.504621295080939
-2.64734833656707,-0.694146456051065,-0.890022184344864,-0.498270727757266
-2.61517639707029,-0.685710831060762,-0.879504659970413,-0.491917002151112
-2.58300445757351,-0.67727520607046,-0.868990396769009,-0.48556001537191
-2.55083251807672,-0.668839581080157,-0.85847950197758,-0.479199660182734
-2.51866057857994,-0.660403956089854,-0.847972087401284,-0.472835824778424
-2.48648863908315,-0.651968331099551,-0.837468269648393,-0.466468392550709
-2.45431669958637,-0.643532706109249,-0.826968170379024,-0.460097241839473
-2.42214476008959,-0.635097081118946,-0.816471916568611,-0.45372224566928
-2.3899728205928,-0.626661456128643,-0.805979640787087,-0.447343271470198
-2.35780088109602,-0.61822583113834,-0.79549148149477,-0.44096018078191
-2.32562894159924,-0.609790206148037,-0.785007583356057,-0.434572828940017
-2.29345700210245,-0.601354581157735,-0.774528097572077,-0.428181064743392
-2.26128506260567,-0.592918956167432,-0.764053182233525,-0.421784730101338
