"brain","fitted_beh","ci_lower","ci_upper"
-2.9183971963765,-0.765216667271315,-0.97874869504756,-0.55168463949507
-2.88622525687972,-0.756781042281012,-0.968207403326639,-0.545354681235386
-2.85405331738294,-0.74834541729071,-0.957668622970437,-0.539022211610982
-2.82188137788615,-0.739909792300407,-0.94713243044441,-0.532687154156403
-2.78970943838937,-0.731474167310104,-0.936598905250132,-0.526349429370076
-2.75753749889259,-0.723038542319801,-0.926068130072058,-0.520008954567544
-2.7253655593958,-0.714602917329498,-0.915540190932528,-0.513665643726469
-2.69319361989902,-0.706167292339196,-0.905015177355526,-0.507319407322866
-2.66102168040223,-0.697731667348893,-0.89449318253974,-0.500970152158046
-2.62884974090545,-0.68929604235859,-0.883974303541521,-0.494617781175659
-2.59667780140867,-0.680860417368287,-0.873458641468362,-0.488262193268212
-2.56450586191188,-0.672424792377984,-0.862946301683567,-0.481903283072402
-2.5323339224151,-0.663989167387682,-0.852437394022832,-0.475540940752531
-2.50016198291832,-0.655553542397379,-0.841932033023498,-0.46917505177126
-2.46799004342153,-0.647117917407076,-0.831430338167287,-0.462805496646865
-2.43581810392475,-0.638682292416773,-0.820932434137402,-0.456432150696145
-2.40364616442797,-0.630246667426471,-0.810438451090907,-0.450054883762035
-2.37147422493118,-0.621811042436168,-0.799948524947384,-0.443673559924952
-2.3393022854344,-0.613375417445865,-0.789462797694928,-0.437288037196802
-2.30713034593761,-0.604939792455562,-0.778981417714591,-0.430898167196534
-2.27495840644083,-0.59650416746526,-0.768504540124481,-0.424503794806037
-2.24278646694405,-0.588068542474957,-0.758032327144809,-0.418104757805104
-2.21061452744726,-0.579632917484654,-0.747564948485205,-0.411700886484103
-2.17844258795048,-0.571197292494351,-0.737102581755789,-0.405292003232913
-2.1462706484537,-0.562761667504048,-0.726645412903506,-0.398877922104591
-2.11409870895691,-0.554326042513746,-0.716193636675358,-0.392458448352133
-2.08192676946013,-0.545890417523443,-0.705747457110269,-0.386033377936617
-2.04975482996334,-0.53745479253314,-0.6953070880614,-0.37960249700488
-2.01758289046656,-0.529019167542837,-0.684872753750854,-0.37316558133482
-1.98541095096978,-0.520583542552535,-0.674444689358802,-0.366722395746267
-1.95323901147299,-0.512147917562232,-0.664023141649181,-0.360272693475283
-1.92106707197621,-0.503712292571929,-0.653608369634218,-0.35381621550964
-1.88889513247943,-0.495276667581626,-0.643200645280132,-0.347352689883121
-1.85672319298264,-0.486841042591323,-0.632800254256478,-0.340881830926169
-1.82455125348586,-0.478405417601021,-0.622407496731707,-0.334403338470334
-1.79237931398908,-0.469969792610718,-0.612022688217562,-0.327916897003874
-1.76020737449229,-0.461534167620415,-0.601646160465063,-0.321422174775767
-1.72803543499551,-0.453098542630112,-0.591278262414854,-0.31491882284537
-1.69586349549872,-0.44466291763981,-0.580919361204738,-0.308406474074881
-1.66369155600194,-0.436227292649507,-0.570569843237236,-0.301884742061778
-1.63151961650516,-0.427791667659204,-0.560230115309997,-0.295353220008411
-1.59934767700837,-0.419356042668901,-0.549900605811794,-0.288811479526008
-1.56717573751159,-0.410920417678598,-0.539581765986733,-0.282259069370464
-1.53500379801481,-0.402484792688296,-0.529274071269124,-0.275695514107468
-1.50283185851802,-0.394049167697993,-0.518978022691176,-0.26912031270481
-1.47065991902124,-0.38561354270769,-0.508694148365326,-0.262532937050055
-1.43848797952446,-0.377177917717387,-0.4984230050425,-0.255932830392274
-1.40631604002767,-0.368742292727085,-0.488165179747034,-0.249319405707135
-1.37414410053089,-0.360306667736782,-0.477921291488109,-0.242692043985454
-1.3419721610341,-0.351871042746479,-0.467691993046649,-0.236050092446309
-1.30980022153732,-0.343435417756176,-0.45747797283534,-0.229392862677013
-1.27762828204054,-0.334999792765874,-0.447279956827987,-0.22271962870376
-1.24545634254375,-0.326564167775571,-0.437098710552602,-0.216029624998539
-1.21328440304697,-0.318128542785268,-0.426935041140473,-0.209322044430063
-1.18111246355019,-0.309692917794965,-0.416789799420886,-0.202596036169045
-1.1489405240534,-0.301257292804662,-0.406663882048187,-0.195850703561138
-1.11676858455662,-0.29282166781436,-0.396558233644307,-0.189085101984412
-1.08459664505983,-0.284386042824057,-0.386473848935808,-0.182298236712306
