ROI_ID,Original_xloading_m2,Sign_oriented_value_used_for_NIfTI
1,-0.387486193916643,0.387486193916643
2,-0.393232314172875,0.393232314172875
3,-0.434737195672154,0.434737195672154
4,-0.472447646312284,0.472447646312284
5,-0.363692061259867,0.363692061259867
6,-0.412214529445683,0.412214529445683
7,-0.407760077918636,0.407760077918636
8,-0.387609965553006,0.387609965553006
9,-0.403639557416257,0.403639557416257
10,-0.38911914405722,0.38911914405722
11,-0.310551808163924,0.310551808163924
12,-0.351157941519471,0.351157941519471
13,-0.306454212663758,0.306454212663758
14,-0.264725128228147,0.264725128228147
15,-0.53710672353214,0.53710672353214
16,-0.499827331640334,0.499827331640334
17,-0.53790150443901,0.53790150443901
18,-0.52574233420479,0.52574233420479
19,-0.57374918223685,0.57374918223685
20,-0.524979865076172,0.524979865076172
21,-0.61064849506075,0.61064849506075
22,-0.57952888706994,0.57952888706994
23,-0.479546999520208,0.479546999520208
24,-0.50220205219676,0.50220205219676
25,-0.486704663652382,0.486704663652382
26,-0.498839224937546,0.498839224937546
27,-0.537998772537702,0.537998772537702
28,-0.505604290707132,0.505604290707132
29,-0.571406662521617,0.571406662521617
30,-0.568728351126276,0.568728351126276
31,-0.599353912774055,0.599353912774055
32,-0.595469698631854,0.595469698631854
33,-0.577392550877081,0.577392550877081
34,-0.578857210487119,0.578857210487119
35,-0.624100507529658,0.624100507529658
36,-0.592015206792165,0.592015206792165
37,-0.562625495932264,0.562625495932264
38,-0.527732292661518,0.527732292661518
39,-0.612128306382665,0.612128306382665
40,-0.56213116388365,0.56213116388365
41,-0.431792799051262,0.431792799051262
42,-0.38341382808302,0.38341382808302
43,-0.595900019326502,0.595900019326502
44,-0.56854335361997,0.56854335361997
45,-0.682049582550768,0.682049582550768
46,-0.66179085165292,0.66179085165292
47,-0.42672135459212,0.42672135459212
48,-0.408807182197891,0.408807182197891
49,-0.611371455770404,0.611371455770404
50,-0.575863521873685,0.575863521873685
51,-0.598031137117508,0.598031137117508
52,-0.57567927116859,0.57567927116859
53,-0.540247858469518,0.540247858469518
54,-0.54852516524776,0.54852516524776
55,-0.494932499242195,0.494932499242195
56,-0.501056863050311,0.501056863050311
57,-0.444872477231368,0.444872477231368
58,-0.437729684011404,0.437729684011404
59,-0.284355041884313,0.284355041884313
60,-0.257775016145821,0.257775016145821
61,-0.543041126868163,0.543041126868163
62,-0.536454166449321,0.536454166449321
63,-0.566677752342117,0.566677752342117
64,-0.572983363255784,0.572983363255784
65,-0.348934074560268,0.348934074560268
66,-0.399503278648162,0.399503278648162
67,-0.356453021173834,0.356453021173834
68,-0.330411171020794,0.330411171020794
69,-0.316081574601327,0.316081574601327
70,-0.332138406320539,0.332138406320539
71,-0.503525537647463,0.503525537647463
72,-0.515674871518137,0.515674871518137
73,-0.560599396206454,0.560599396206454
74,-0.452620451675667,0.452620451675667
75,-0.52617827131105,0.52617827131105
76,-0.35945477464773,0.35945477464773
77,-0.386294501825573,0.386294501825573
78,-0.370779183530754,0.370779183530754
79,-0.418180850710241,0.418180850710241
80,-0.416596385660959,0.416596385660959
81,-0.417235553857099,0.417235553857099
82,-0.435441138241887,0.435441138241887
83,-0.324689603915123,0.324689603915123
84,-0.276926932129766,0.276926932129766
85,-0.459032943479303,0.459032943479303
86,-0.480912611910658,0.480912611910658
87,-0.413752664049156,0.413752664049156
88,-0.440110458528827,0.440110458528827
89,-0.392019648664479,0.392019648664479
90,-0.227504595095535,0.227504595095535
91,-0.384094180587682,0.384094180587682
92,-0.438070852979371,0.438070852979371
