ROI_ID,Original_xloading_m2,Sign_oriented_value_used_for_NIfTI
1,-0.398903065058249,0.398903065058249
2,-0.398526383898656,0.398526383898656
3,-0.43300425171743,0.43300425171743
4,-0.48009321549039,0.48009321549039
5,-0.381082004659033,0.381082004659033
6,-0.42659067168116,0.42659067168116
7,-0.421242189021548,0.421242189021548
8,-0.393623378828412,0.393623378828412
9,-0.415437144152569,0.415437144152569
10,-0.392383672077682,0.392383672077682
11,-0.354449847330581,0.354449847330581
12,-0.391247525795937,0.391247525795937
13,-0.38195051185342,0.38195051185342
14,-0.353765435745749,0.353765435745749
15,-0.523377896358467,0.523377896358467
16,-0.490228827430748,0.490228827430748
17,-0.500738124915219,0.500738124915219
18,-0.506865439444875,0.506865439444875
19,-0.572582817077783,0.572582817077783
20,-0.516733350317615,0.516733350317615
21,-0.56427558549966,0.56427558549966
22,-0.522347593943436,0.522347593943436
23,-0.456194387679289,0.456194387679289
24,-0.479274259360626,0.479274259360626
25,-0.483817720445118,0.483817720445118
26,-0.502508856915839,0.502508856915839
27,-0.565526659406312,0.565526659406312
28,-0.533118028374752,0.533118028374752
29,-0.542048583800332,0.542048583800332
30,-0.545837567685237,0.545837567685237
31,-0.547901518189857,0.547901518189857
32,-0.534970923184775,0.534970923184775
33,-0.524829743709174,0.524829743709174
34,-0.508647356992735,0.508647356992735
35,-0.572356880897732,0.572356880897732
36,-0.522982023878001,0.522982023878001
37,-0.514922057518015,0.514922057518015
38,-0.476443592210129,0.476443592210129
39,-0.560658461137815,0.560658461137815
40,-0.50374019591409,0.50374019591409
41,-0.466983446936066,0.466983446936066
42,-0.409353454663153,0.409353454663153
43,-0.565425871997809,0.565425871997809
44,-0.527265410464057,0.527265410464057
45,-0.663712272768238,0.663712272768238
46,-0.647835068534888,0.647835068534888
47,-0.454489039245345,0.454489039245345
48,-0.46245838996705,0.46245838996705
49,-0.560810395544763,0.560810395544763
50,-0.521150286085059,0.521150286085059
51,-0.54784675438444,0.54784675438444
52,-0.522824218708871,0.522824218708871
53,-0.516184811035025,0.516184811035025
54,-0.51941491844636,0.51941491844636
55,-0.492356023055864,0.492356023055864
56,-0.517505113582788,0.517505113582788
57,-0.444493286813772,0.444493286813772
58,-0.453887494847163,0.453887494847163
59,-0.312294683345035,0.312294683345035
60,-0.27804207313507,0.27804207313507
61,-0.498348292765475,0.498348292765475
62,-0.478651853294176,0.478651853294176
63,-0.537385363180748,0.537385363180748
64,-0.5496586804231,0.5496586804231
65,-0.30030841852889,0.30030841852889
66,-0.340086138853056,0.340086138853056
67,-0.350072239745729,0.350072239745729
68,-0.327441470233254,0.327441470233254
69,-0.331531314551196,0.331531314551196
70,-0.352018729830062,0.352018729830062
71,-0.422094734927247,0.422094734927247
72,-0.380512152318171,0.380512152318171
73,-0.483292483830977,0.483292483830977
74,-0.37752877048103,0.37752877048103
75,-0.494328229376178,0.494328229376178
76,-0.263877403251028,0.263877403251028
77,-0.383126310958275,0.383126310958275
78,-0.354832714336881,0.354832714336881
79,-0.406261786620758,0.406261786620758
80,-0.364215720312342,0.364215720312342
81,-0.42359488925939,0.42359488925939
82,-0.410682551368289,0.410682551368289
83,-0.353344966473293,0.353344966473293
84,-0.288806562757255,0.288806562757255
85,-0.472110009458718,0.472110009458718
86,-0.473451016570475,0.473451016570475
87,-0.42136310372923,0.42136310372923
88,-0.417275241539498,0.417275241539498
89,-0.373306989529644,0.373306989529644
90,-0.197566059766595,0.197566059766595
91,-0.376465041467252,0.376465041467252
92,-0.428893865174938,0.428893865174938
93,-0.311783996195375,0.311783996195375
94,-0.234825148784603,0.234825148784603
95,-0.335425940297234,0.335425940297234
96,-0.181406925834071,0.181406925834071
97,-0.432341804754231,0.432341804754231
98,-0.449513295062605,0.449513295062605
99,-0.371977039804558,0.371977039804558
100,-0.398722468455514,0.398722468455514
101,-0.373405263870307,0.373405263870307
102,-0.369115266684243,0.369115266684243
103,-0.419256752883876,0.419256752883876
104,-0.348209670803028,0.348209670803028
105,-0.545751625792912,0.545751625792912
106,-0.623958911518542,0.623958911518542
107,-0.495484371747837,0.495484371747837
108,-0.570566736562462,0.570566736562462
109,-0.333614161001512,0.333614161001512
110,-0.227757407762576,0.227757407762576
111,-0.297089057414579,0.297089057414579
112,-0.217972850487461,0.217972850487461
113,-0.453269652077183,0.453269652077183
114,-0.404016361456613,0.404016361456613
115,-0.324323507221042,0.324323507221042
116,-0.158312525596955,0.158312525596955
117,-0.388068406536992,0.388068406536992
118,-0.285324510403374,0.285324510403374
119,-0.503870746553234,0.503870746553234
120,-0.531389090896172,0.531389090896172
121,-0.466621412760399,0.466621412760399
122,-0.514023592656981,0.514023592656981
123,-0.482852468586468,0.482852468586468
124,-0.521137168878579,0.521137168878579
125,-0.366899232601666,0.366899232601666
126,-0.271075760539496,0.271075760539496
127,-0.365904276317828,0.365904276317828
128,-0.369683180980794,0.369683180980794
129,-0.479322702959701,0.479322702959701
130,-0.4199777203722,0.4199777203722
131,-0.331732881339665,0.331732881339665
132,-0.249514664880827,0.249514664880827
133,-0.467959703648835,0.467959703648835
134,-0.463134686664889,0.463134686664889
135,-0.362253661475979,0.362253661475979
136,-0.541065245161087,0.541065245161087
137,-0.451965368694612,0.451965368694612
138,-0.443862827348673,0.443862827348673
139,-0.398539960896116,0.398539960896116
140,-0.414756295663025,0.414756295663025
141,-0.448651512146879,0.448651512146879
142,-0.408201362295989,0.408201362295989
143,-0.556304722248157,0.556304722248157
144,-0.576450050294019,0.576450050294019
145,-0.380067464758855,0.380067464758855
146,-0.366527770060388,0.366527770060388
147,-0.483583830906621,0.483583830906621
148,-0.448827550100864,0.448827550100864
149,-0.414185683443006,0.414185683443006
150,-0.37533426981842,0.37533426981842
151,-0.425989882948865,0.425989882948865
152,-0.411545306933985,0.411545306933985
153,-0.516105599605738,0.516105599605738
154,-0.535335022375925,0.535335022375925
155,-0.47385981318899,0.47385981318899
156,-0.44019508713536,0.44019508713536
157,-0.387962222051336,0.387962222051336
158,-0.326015893653681,0.326015893653681
159,-0.462658145400799,0.462658145400799
160,-0.417510889802289,0.417510889802289
161,-0.301774181739501,0.301774181739501
162,-0.173079206914921,0.173079206914921
163,-0.443634006205818,0.443634006205818
164,-0.468484378738681,0.468484378738681
165,-0.506188252153889,0.506188252153889
166,-0.484800590214069,0.484800590214069
167,-0.52169344239104,0.52169344239104
168,-0.487183344150953,0.487183344150953
169,-0.473631269925304,0.473631269925304
170,-0.468261844705898,0.468261844705898
171,-0.449713742831969,0.449713742831969
172,-0.419983680422563,0.419983680422563
173,-0.469267620767378,0.469267620767378
174,-0.424135418080478,0.424135418080478
175,-0.525423180390415,0.525423180390415
176,-0.550928311196893,0.550928311196893
177,-0.454407697025828,0.454407697025828
178,-0.523530454350505,0.523530454350505
179,-0.384555343147832,0.384555343147832
180,-0.377191670536599,0.377191670536599
181,-0.416290797852022,0.416290797852022
182,-0.377357642204476,0.377357642204476
183,-0.437337941119966,0.437337941119966
184,-0.463197666348155,0.463197666348155
185,-0.423811744834777,0.423811744834777
186,-0.49478363963638,0.49478363963638
187,-0.585786847664953,0.585786847664953
188,-0.488154789375317,0.488154789375317
189,-0.222689077544361,0.222689077544361
190,-0.176931857961412,0.176931857961412
191,-0.152349617975057,0.152349617975057
192,-0.274854983808874,0.274854983808874
193,0.06477232559795,-0.06477232559795
194,-0.0858111432248776,0.0858111432248776
195,-0.53270041429654,0.53270041429654
196,-0.57070444829105,0.57070444829105
197,-0.31418326106362,0.31418326106362
198,-0.389282956497132,0.389282956497132
199,-0.124486611281081,0.124486611281081
200,-0.255423943566341,0.255423943566341
201,-0.421222695335441,0.421222695335441
202,-0.482870331832329,0.482870331832329
203,0.110356514009434,-0.110356514009434
204,-0.0921464079568381,0.0921464079568381
205,-0.148865301902509,0.148865301902509
206,-0.336007051624025,0.336007051624025
207,-0.112960248449999,0.112960248449999
208,-0.113569111250466,0.113569111250466
209,-0.250799949106031,0.250799949106031
210,-0.308414826905917,0.308414826905917
211,-0.379894283597245,0.379894283597245
212,-0.332824342074014,0.332824342074014
213,-0.397936509880139,0.397936509880139
214,-0.283193972954706,0.283193972954706
215,-0.33885044191037,0.33885044191037
216,-0.225531557483155,0.225531557483155
217,-0.39302091082654,0.39302091082654
218,-0.366451831394406,0.366451831394406
