ROI_ID,Original_xloading_m2,Sign_oriented_value_used_for_NIfTI
1,-0.372917231700155,0.372917231700155
2,-0.381571367900262,0.381571367900262
3,-0.426780043812889,0.426780043812889
4,-0.453508235032238,0.453508235032238
5,-0.346588971275197,0.346588971275197
6,-0.392418645703155,0.392418645703155
7,-0.384620790727726,0.384620790727726
8,-0.373379174586547,0.373379174586547
9,-0.382219496356173,0.382219496356173
10,-0.374584660507594,0.374584660507594
11,-0.278693893462883,0.278693893462883
12,-0.318291401998819,0.318291401998819
13,-0.247566582894171,0.247566582894171
14,-0.196861402432283,0.196861402432283
15,-0.529984020707677,0.529984020707677
16,-0.492828162015735,0.492828162015735
17,-0.546929063065636,0.546929063065636
18,-0.520187071482778,0.520187071482778
19,-0.55066778259761,0.55066778259761
20,-0.51217889027422,0.51217889027422
21,-0.619608824783912,0.619608824783912
22,-0.598862827485096,0.598862827485096
23,-0.484729581862936,0.484729581862936
24,-0.50486046777318,0.50486046777318
25,-0.470535133184137,0.470535133184137
26,-0.477714658281588,0.477714658281588
27,-0.491344900352232,0.491344900352232
28,-0.460587447388292,0.460587447388292
29,-0.569330765867713,0.569330765867713
30,-0.560790641122333,0.560790641122333
31,-0.61203811756999,0.61203811756999
32,-0.616184258077425,0.616184258077425
33,-0.590870981126992,0.590870981126992
34,-0.607983259169823,0.607983259169823
35,-0.634114727921523,0.634114727921523
36,-0.619263570649496,0.619263570649496
37,-0.575749451352828,0.575749451352828
38,-0.546161126052361,0.546161126052361
39,-0.620725912231626,0.620725912231626
40,-0.580939037005946,0.580939037005946
41,-0.381459632430523,0.381459632430523
42,-0.336905259221084,0.336905259221084
43,-0.589463956966486,0.589463956966486
44,-0.57422471975443,0.57422471975443
45,-0.651459850875817,0.651459850875817
46,-0.62882839823099,0.62882839823099
47,-0.379286223756018,0.379286223756018
48,-0.341723402929185,0.341723402929185
49,-0.612994231480786,0.612994231480786
50,-0.580993763682302,0.580993763682302
51,-0.609348818954291,0.609348818954291
52,-0.591561044945919,0.591561044945919
53,-0.535155670882248,0.535155670882248
54,-0.54845523933395,0.54845523933395
55,-0.475928783194974,0.475928783194974
56,-0.469472615583808,0.469472615583808
57,-0.42374113187403,0.42374113187403
58,-0.410957108237459,0.410957108237459
59,-0.255127386366637,0.255127386366637
60,-0.238819617655918,0.238819617655918
61,-0.551993568572608,0.551993568572608
62,-0.556744839133449,0.556744839133449
63,-0.563525015255914,0.563525015255914
64,-0.564497382338068,0.564497382338068
65,-0.371211384063522,0.371211384063522
66,-0.424508510813713,0.424508510813713
67,-0.345555818995955,0.345555818995955
68,-0.320277694704533,0.320277694704533
69,-0.30509758422751,0.30509758422751
70,-0.317346695138809,0.317346695138809
71,-0.542971216012973,0.542971216012973
72,-0.594825775574639,0.594825775574639
73,-0.592636186632218,0.592636186632218
74,-0.497780749259928,0.497780749259928
75,-0.523733078304851,0.523733078304851
76,-0.423488391070804,0.423488391070804
77,-0.38236274844882,0.38236274844882
78,-0.380850562904385,0.380850562904385
79,-0.415641737584466,0.415641737584466
80,-0.443260113431334,0.443260113431334
81,-0.400165079814267,0.400165079814267
82,-0.440853209413653,0.440853209413653
83,-0.302494889387551,0.302494889387551
84,-0.274508044915059,0.274508044915059
85,-0.429339639606035,0.429339639606035
86,-0.47034324168555,0.47034324168555
87,-0.394722489566528,0.394722489566528
88,-0.443892494285109,0.443892494285109
89,-0.39305085550673,0.39305085550673
90,-0.257784927409446,0.257784927409446
91,-0.383977462546151,0.383977462546151
92,-0.437471426606665,0.437471426606665
93,-0.277608500053794,0.277608500053794
94,-0.244655698983163,0.244655698983163
95,-0.281456462169026,0.281456462169026
