ROI_ID,Original_xloading_m2,Sign_oriented_value_used_for_NIfTI
1,-0.506988131800015,0.506988131800015
2,-0.54450993302089,0.54450993302089
3,-0.521937495784623,0.521937495784623
4,-0.514014887184352,0.514014887184352
5,-0.522738213159904,0.522738213159904
6,-0.504239257919196,0.504239257919196
7,-0.54043150707387,0.54043150707387
8,-0.548993391073183,0.548993391073183
9,-0.574947675250765,0.574947675250765
10,-0.584101656336851,0.584101656336851
11,-0.434870998438332,0.434870998438332
12,-0.44508949035888,0.44508949035888
13,-0.442979915394378,0.442979915394378
14,-0.468779392285017,0.468779392285017
15,-0.463463380519812,0.463463380519812
16,-0.453312960391348,0.453312960391348
17,-0.544614908239911,0.544614908239911
18,-0.543576222408871,0.543576222408871
19,-0.472773506084986,0.472773506084986
20,-0.486084519458636,0.486084519458636
21,-0.5157346563538,0.5157346563538
22,-0.525876822854443,0.525876822854443
23,-0.515157190805031,0.515157190805031
24,-0.521990154468252,0.521990154468252
25,-0.545795481952899,0.545795481952899
26,-0.56224380151517,0.56224380151517
27,-0.586424786544876,0.586424786544876
28,-0.625573146094494,0.625573146094494
29,-0.55605569685477,0.55605569685477
30,-0.564496337836939,0.564496337836939
31,-0.514752242468231,0.514752242468231
32,-0.51936020249349,0.51936020249349
33,-0.521217054550289,0.521217054550289
34,-0.558216627606231,0.558216627606231
35,-0.487956050072086,0.487956050072086
36,-0.531859774706499,0.531859774706499
37,-0.5618475179882,0.5618475179882
38,-0.576155016531639,0.576155016531639
39,-0.567622363786781,0.567622363786781
40,-0.598283814650198,0.598283814650198
41,-0.596427703507829,0.596427703507829
42,-0.611897569466792,0.611897569466792
43,-0.519890142055507,0.519890142055507
44,-0.541206432970384,0.541206432970384
45,-0.516231040679308,0.516231040679308
46,-0.559535674839525,0.559535674839525
47,-0.54452649857475,0.54452649857475
48,-0.610933713926273,0.610933713926273
49,-0.494498477547012,0.494498477547012
50,-0.481256046977762,0.481256046977762
51,-0.540678214034845,0.540678214034845
52,-0.563889173297459,0.563889173297459
53,-0.66170589799219,0.66170589799219
54,-0.65797497505815,0.65797497505815
55,-0.578848871131662,0.578848871131662
56,-0.605335249140684,0.605335249140684
57,-0.60402697556399,0.60402697556399
58,-0.603727659040136,0.603727659040136
59,-0.480060445379917,0.480060445379917
60,-0.546702760173898,0.546702760173898
61,-0.614235469799413,0.614235469799413
62,-0.627765042267254,0.627765042267254
63,-0.634609040363034,0.634609040363034
64,-0.643769128648443,0.643769128648443
65,-0.593475885306258,0.593475885306258
66,-0.660496653573713,0.660496653573713
67,-0.604722855099299,0.604722855099299
68,-0.617276507262401,0.617276507262401
69,-0.473904650533837,0.473904650533837
70,-0.51349244465675,0.51349244465675
71,-0.559183623317153,0.559183623317153
72,-0.553975210025344,0.553975210025344
73,-0.598766167282721,0.598766167282721
74,-0.578501947165121,0.578501947165121
75,-0.54536529660341,0.54536529660341
76,-0.531727296374297,0.531727296374297
77,-0.473697394774149,0.473697394774149
78,-0.501079601076932,0.501079601076932
79,-0.49857558348149,0.49857558348149
80,-0.551565645285907,0.551565645285907
81,-0.512148584068231,0.512148584068231
82,-0.516245758601031,0.516245758601031
83,-0.444367612570252,0.444367612570252
84,-0.480420834886676,0.480420834886676
85,-0.520023745193299,0.520023745193299
86,-0.557109979307754,0.557109979307754
87,-0.493505403062349,0.493505403062349
88,-0.513753079163259,0.513753079163259
89,-0.57400569676014,0.57400569676014
90,-0.540052526901823,0.540052526901823
91,-0.553490709428071,0.553490709428071
92,-0.468849438544038,0.468849438544038
93,-0.448585423753578,0.448585423753578
94,-0.492933844887817,0.492933844887817
95,-0.450172332666208,0.450172332666208
96,-0.475602384015614,0.475602384015614
97,-0.55406593165306,0.55406593165306
98,-0.537938523592942,0.537938523592942
99,-0.531767494848012,0.531767494848012
100,-0.490406829998972,0.490406829998972
101,-0.529779886057843,0.529779886057843
102,-0.528734392122396,0.528734392122396
103,-0.59278639550362,0.59278639550362
104,-0.617718758419719,0.617718758419719
105,-0.623938608456539,0.623938608456539
106,-0.525070847328559,0.525070847328559
107,-0.616259524964193,0.616259524964193
108,-0.541033677229297,0.541033677229297
109,-0.541231020095016,0.541231020095016
110,-0.581039285945519,0.581039285945519
111,-0.550042684646812,0.550042684646812
112,-0.545980497909968,0.545980497909968
113,-0.59303317967351,0.59303317967351
114,-0.527480054424686,0.527480054424686
115,-0.553489720078164,0.553489720078164
116,-0.528017218460786,0.528017218460786
117,-0.513634927316423,0.513634927316423
118,-0.529234319315214,0.529234319315214
119,-0.581132376509612,0.581132376509612
120,-0.580664768279139,0.580664768279139
121,-0.530254139423041,0.530254139423041
122,-0.516293957934219,0.516293957934219
