"","Mode1","Mode2","Mode3","Mode4","Mode5"
"Age",0.946679599738078,-0.248767334181329,-0.140928419024395,0.125380753755613,-0.079570070899984
"Numerical Operation",0.452070168367472,0.493761147204485,0.11133296591742,0.364786717146629,0.637470088770393
"Math Problem Solving",0.414683301003142,0.82821824208398,0.358940660989746,0.109387483773242,0.03589266819927
"Word Reading",0.168617841524451,0.748819831647673,-0.468171398008586,0.419987484751396,-0.123543263635326
"Reading Comprehension",0.38716371785866,0.699893877131195,-0.478436896537912,-0.327207287021574,0.155840763856178
