"brain","fitted_beh","ci_lower","ci_upper"
-3.32096330866625,-1.22677068749183,-1.64914692172766,-0.804394453256001
-3.28949226886494,-1.21514522055807,-1.63385168427322,-0.79643875684292
-3.25802122906364,-1.20351975362431,-1.6185594040618,-0.788480103186825
-3.22655018926234,-1.19189428669055,-1.60327016017186,-0.78051841320924
-3.19507914946104,-1.18026881975679,-1.58798403445766,-0.772553605055929
-3.16360810965973,-1.16864335282303,-1.57270111166878,-0.764585593977288
-3.13213706985843,-1.15701788588927,-1.55742147957587,-0.756614292202679
-3.10066603005713,-1.14539241895552,-1.54214522910265,-0.748639608808378
-3.06919499025583,-1.13376695202176,-1.52687245446477,-0.740661449578738
-3.03772395045452,-1.122141485088,-1.51160325331579,-0.732679716860201
-3.00625291065322,-1.11051601815424,-1.49633772690076,-0.72469430940772
-2.97478187085192,-1.09889055122048,-1.4810759802178,-0.716705122223164
-2.94331083105062,-1.08726508428672,-1.46581812218823,-0.708712046385216
-2.91183979124932,-1.07563961735296,-1.45056426583565,-0.700714968870268
-2.88036875144801,-1.0640141504192,-1.43531452847463,-0.692713772363778
-2.84889771164671,-1.05238868348544,-1.42006903190938,-0.684708335061505
-2.81742667184541,-1.04076321655168,-1.40482790264334,-0.676698530460033
-2.78595563204411,-1.02913774961793,-1.38959127209994,-0.668684227135908
-2.7544845922428,-1.01751228268417,-1.37435927685561,-0.660665288512725
-2.7230135524415,-1.00588681575041,-1.35913205888541,-0.652641572615403
-2.6915425126402,-0.994261348816648,-1.34390976582242,-0.644612931810878
-2.6600714728389,-0.982635881882889,-1.32869255123141,-0.63657921253437
-2.62860043303759,-0.97101041494913,-1.31348057489793,-0.628540255000329
-2.59712939323629,-0.959384948015371,-1.29827400313362,-0.620495892897119
-2.56565835343499,-0.947759481081612,-1.28307300909881,-0.61244595306441
-2.53418731363369,-0.936134014147853,-1.2678777731435,-0.604390255152207
-2.50271627383239,-0.924508547214094,-1.25268848316783,-0.59632861126036
-2.47124523403108,-0.912883080280335,-1.23750533500334,-0.588260825557327
-2.43977419422978,-0.901257613346576,-1.22232853281628,-0.580186693876875
-2.40830315442848,-0.889632146412817,-1.2071582895343,-0.572106003291331
-2.37683211462718,-0.878006679479059,-1.19199482729822,-0.564018531659893
-2.34536107482587,-0.866381212545299,-1.17683837794019,-0.555924047150407
-2.31389003502457,-0.85475574561154,-1.16168918349013,-0.547822307732952
-2.28241899522327,-0.843130278677781,-1.14654749671217,-0.539713060643397
-2.25094795542197,-0.831504811744022,-1.13141358167297,-0.53159604181507
-2.21947691562066,-0.819879344810263,-1.11628771434407,-0.523470975276461
-2.18800587581936,-0.808253877876504,-1.10117018324016,-0.51533757251285
-2.15653483601806,-0.796628410942746,-1.08606129009596,-0.507195531789534
-2.12506379621676,-0.785002944008986,-1.07096135058372,-0.499044537434257
-2.09359275641545,-0.773377477075227,-1.0558706950742,-0.490884259076252
-2.06212171661415,-0.761752010141469,-1.04078966944374,-0.482714350839195
-2.03065067681285,-0.75012654320771,-1.02571863593024,-0.474534450485179
-1.99917963701155,-0.73850107627395,-1.0106579740412,-0.466344178506701
-1.96770859721025,-0.726875609340191,-0.995608081516927,-0.458143137163456
-1.93623755740894,-0.715250142406432,-0.980569375352262,-0.449930909460603
-1.90476651760764,-0.703624675472673,-0.965542292880369,-0.441707058064978
-1.87329547780634,-0.691999208538915,-0.950527292922221,-0.433471124155608
-1.84182443800504,-0.680373741605156,-0.935524857005612,-0.425222626204699
-1.81035339820373,-0.668748274671396,-0.920535490657652,-0.416961058685141
-1.77888235840243,-0.657122807737637,-0.905559724774817,-0.408685890700458
-1.74741131860113,-0.645497340803879,-0.890598117074752,-0.400396564533005
-1.71594027879983,-0.63387187387012,-0.875651253634086,-0.392092494106153
-1.68446923899852,-0.622246406936361,-0.860719750516579,-0.383773063356142
-1.65299819919722,-0.610620940002602,-0.845804255495913,-0.37543762450929
-1.62152715939592,-0.598995473068843,-0.830905449877391,-0.367085496260294
-1.59005611959462,-0.587370006135083,-0.816024050422678,-0.358715961847489
-1.55858507979332,-0.575744539201325,-0.801160811381534,-0.350328267021115
-1.52711403999201,-0.564119072267566,-0.786316526634146,-0.341921617900985
-1.49564300019071,-0.552493605333807,-0.771492031947268,-0.333495178720345
-1.46417196038941,-0.540868138400048,-0.75668820734678,-0.325048069453315
-1.43270092058811,-0.529242671466289,-0.741905979608501,-0.316579363324076
-1.4012298807868,-0.51761720453253,-0.727146324868163,-0.308088084196896
-1.3697588409855,-0.505991737598771,-0.712410271350167,-0.299573203847375
-1.3382878011842,-0.494366270665012,-0.697698902213283,-0.29103363911674
-1.3068167613829,-0.482740803731253,-0.683013358509562,-0.282468248952943
-1.27534572158159,-0.471115336797494,-0.668354842250469,-0.273875831344518
-1.24387468178029,-0.459489869863735,-0.653724619571542,-0.265255120155927
-1.21240364197899,-0.447864402929976,-0.639124023983642,-0.25660478187631
-1.18093260217769,-0.436238935996217,-0.624554459694998,-0.247923412297435
-1.14946156237639,-0.424613469062458,-0.61001740498378,-0.239209533141135
-1.11799052257508,-0.412988002128699,-0.595514415595645,-0.230461588661752
-1.08651948277378,-0.40136253519494,-0.581047128134659,-0.22167794225522
-1.05504844297248,-0.389737068261181,-0.566617263409014,-0.212856873113347
-1.02357740317118,-0.378111601327422,-0.552226629685044,-0.203996572969799
-0.992106363369874,-0.366486134393663,-0.537877125794124,-0.195095142993202
-0.960635323568572,-0.354860667459904,-0.523570744027094,-0.186150590892713
-0.929164283767269,-0.343235200526145,-0.509309572739917,-0.177160828312372
-0.897693243965967,-0.331609733592386,-0.495095798582363,-0.168123668602408
-0.866222204164665,-0.319984266658627,-0.480931708248833,-0.15903682506842
-0.834751164363362,-0.308358799724868,-0.466819689637097,-0.149897909812638
-0.80328012456206,-0.296733332791109,-0.452762232287117,-0.1407044332951
-0.771809084760758,-0.28510786585735,-0.438761926958619,-0.13145380475608
-0.740338044959456,-0.273482398923591,-0.424821464193292,-0.12214333365389
-0.708867005158153,-0.261856931989832,-0.410943631696137,-0.112770232283526
-0.677395965356851,-0.250231465056073,-0.397131310361459,-0.103331619750686
-0.645924925555549,-0.238605998122314,-0.383387468763387,-0.0938245274812404
-0.614453885754246,-0.226980531188555,-0.369715155929907,-0.0842459064472025
-0.582982845952944,-0.215355064254796,-0.356117492224529,-0.0745926362850624
-0.551511806151642,-0.203729597321037,-0.342597658172448,-0.0648615364696255
-0.520040766350339,-0.192104130387278,-0.329158881089854,-0.0550493796847019
-0.488569726549037,-0.180478663453519,-0.315804419407352,-0.0451529074996858
-0.457098686747734,-0.16885319651976,-0.302537544622387,-0.0351688484171319
-0.425627646946432,-0.157227729586001,-0.289361520871916,-0.0250939383000851
-0.39415660714513,-0.145602262652242,-0.276279582185405,-0.0149249431190787
-0.362685567343828,-0.133976795718483,-0.263294907558905,-0.00465868387806048
-0.331214527542525,-0.122351328784724,-0.25041059408165,0.00570793651220304
-0.299743487741223,-0.110725861850965,-0.237629628444484,0.0161779047425549
-0.268272447939921,-0.0991003949172058,-0.224954857260316,0.0267540674259048
-0.236801408138618,-0.0874749279834467,-0.212388956725384,0.0374391007584904
-0.205330368337316,-0.0758494610496878,-0.199934402240094,0.0482354801407189
-0.173859328536014,-0.0642239941159287,-0.187593438682762,0.0591454504509047
-0.142388288734712,-0.0525985271821698,-0.175368052081668,0.070170997717328
-0.110917248933409,-0.0409730602484108,-0.163259943454194,0.0813138229573728
-0.0794462091321066,-0.0293475933146517,-0.151270505571285,0.0925753189419811
-0.0479751693308046,-0.0177221263808928,-0.139400803358042,0.103956550596256
-0.0165041295295021,-0.00609665944713373,-0.127651558556537,0.11545823966227
0.0149669102718,0.00552880748662517,-0.116023139157196,0.127080754130446
0.0464379500731025,0.0171542744203842,-0.104515553955941,0.138824102796709
0.0779089898744045,0.0287797413541431,-0.0931284524236488,0.150687935131935
0.109380029675707,0.0404052082879022,-0.0818611298924001,0.162671546468204
0.14085106947701,0.0520306752216613,-0.0707125378807076,0.17477388832403
0.172322109278312,0.0636561421554202,-0.059681299208442,0.186993583519282
0.203793149079614,0.0752816090891792,-0.0487657274017421,0.199328945580101
0.235264188880916,0.0869070760229381,-0.0379638497669218,0.211778001812798
0.266735228682219,0.0985325429566972,-0.0272734334258208,0.224338519339215
0.298206268483521,0.110158009890456,-0.0166920135558081,0.23700803333672
0.329677308284823,0.121783476824215,-0.00621692306537099,0.249783876713801
0.361148348086126,0.133408943757974,0.00415467704198802,0.26266321047396
0.392619387887428,0.145034410691733,0.0144257673119869,0.275643054071479
0.42409042768873,0.156659877625492,0.0245994401147627,0.288720315136222
0.455561467490032,0.168285344559251,0.0346788710844603,0.301891818034042
0.487032507291335,0.17991081149301,0.0446672921583235,0.315154330827697
0.518503547092637,0.191536278426769,0.0545679665494934,0.328504590304045
0.549974586893939,0.203161745360528,0.0643841658896109,0.341939324831445
0.581445626695242,0.214787212294287,0.0741191496861746,0.3554552749024
