"Math_Alone","Reading_Alone","Combined_Mode2"
0.572368478631407,0.506988131800015,0.585068850280572
0.607003414521521,0.54450993302089,0.62304008436535
0.547698186114104,0.521937495784623,0.57129776124816
0.551916360356705,0.514014887184352,0.572221669687261
0.57369093183777,0.522738213159904,0.597444069868475
0.563224244563409,0.504239257919196,0.58182176515006
0.567922422553093,0.54043150707387,0.589227873748611
0.569711142953847,0.548993391073183,0.593084125414765
0.628161362021234,0.574947675250765,0.646632273058607
0.624967250047677,0.584101656336851,0.645944641599698
0.545587725553614,0.434870998438332,0.544119211893288
0.551922887140386,0.44508949035888,0.551255956803747
0.536122581083113,0.442979915394378,0.546284460362722
0.538173992861265,0.468779392285017,0.553715101965607
0.468423510146478,0.463463380519812,0.494948563131193
0.487375570893014,0.453312960391348,0.504386159781975
0.558124785406278,0.544614908239911,0.575408571349677
0.552532500392574,0.543576222408871,0.570713223149209
0.475529210705613,0.472773506084986,0.507779157559452
0.491557443059024,0.486084519458636,0.52165227584003
0.512121458417655,0.5157346563538,0.539914531933471
0.535757803303889,0.525876822854443,0.56124656793685
0.50305516902307,0.515157190805031,0.529588081467722
0.539099153737633,0.521990154468252,0.559950627040256
0.53433918914286,0.545795481952899,0.558601000030542
0.537498949632669,0.56224380151517,0.568113104908872
0.508760647315292,0.586424786544876,0.567584653850045
0.538028206594296,0.625573146094494,0.6012575605485
0.576255969641838,0.55605569685477,0.591693005274488
0.575418587243686,0.564496337836939,0.593359282539283
0.522235286424813,0.514752242468231,0.544244636024726
0.534687365523321,0.51936020249349,0.555174709721866
0.581436936419565,0.521217054550289,0.588560072881558
0.6191601057532,0.558216627606231,0.627931157281026
0.49868089241903,0.487956050072086,0.51970787196583
0.54078546533783,0.531859774706499,0.562461939887528
0.628365688316251,0.5618475179882,0.640402135080579
0.655152075750112,0.576155016531639,0.664832245185628
0.6437826980293,0.567622363786781,0.651463750245067
0.648201140019651,0.598283814650198,0.662970692324254
0.645934773738324,0.596427703507829,0.672547529093533
0.704821739079909,0.611897569466792,0.719436611021009
0.55857931174905,0.519890142055507,0.5756666415271
0.549946004400995,0.541206432970384,0.575245838191862
0.596821782814678,0.516231040679308,0.605706907050345
0.649953704598416,0.559535674839525,0.660614849656366
0.588623346388129,0.54452649857475,0.612993887253167
0.585359190758619,0.610933713926273,0.628238746620281
